region,prefix,subarea,n_checks,proposed_grace,confidence,sample_check,tiles,alternates
Altus Plateau,AP,FSG,21,Forest-Spanning Greatbridge,HIGH,AP/FSG: Discus of Light - Brother Corhyn shop FSG waygate,m11_00_00 m60_40_52 m60_40_53 m60_40_54 m60_40_55 m60_41_52,First Mt. Gelmir Campsite(53)
Altus Plateau,AP,GLE,2,,NONE,AP/GLE: Hefty Beast Bone x2 - to N in cave,m60_39_50,
Altus Plateau,AP,HLT,2,,NONE,AP/HLT: Ash of War: Lightning Slash - scarab SE of HLT,m60_43_53,
Altus Plateau,AP,LR,4,Lower Capital Church,LOW,AP/LR: Ash of War: Shield Crash - scarab N side of ruins,m60_38_51,
Altus Plateau,AP,ME,3,Main Academy Gate,LOW,"AP/ME: Crimsonspill Crystal Tear - boss drop, Minor Erdtree",m60_41_53 m60_41_54,
Altus Plateau,AP,MR,2,,NONE,AP/MR: Miquella's Lily - W of MR by grave,m60_39_53,
Altus Plateau,AP,OAT,4,Outer Wall Battleground,LOW,AP/OAT: Golden Rune [3] - NE of OAT on a rock slab lower ravine,m60_39_53,
Altus Plateau,AP,PR,10,Prison Town Church,LOW,AP/PR: Perfume Bottle - under table middle of ruins,m60_36_51 m60_36_52,
Altus Plateau,AP,RISP,6,Road of Iniquity Side Path,HIGH,AP/RISP: Protection of the Erdtree - scarab to SW,m60_40_54,
Altus Plateau,AP,RP,14,Rampartside Path,HIGH,AP/RP: Lansseax's Glaive - boss drop up hill to SW or NE of AC grace,m60_37_51 m60_41_51 m60_41_52 m60_42_53,"Rykard, Lord of Blasphemy(52) | Road of Iniquity Side Path(52)"
Altus Plateau,AP,SCM,1,Subterranean Inquisition Chamber,LOW,AP/SCM: Magic Grease - N of SCM by lower graves,m60_39_52,Shaded Castle Ramparts(53)
Altus Plateau,AP,SCR,2,Shaded Castle Ramparts,HIGH,"AP/SCR: Golden Rune [3] - to SW outside castle, follow outer wall into a cu",m60_39_54,Subterranean Inquisition Chamber(53) | Shaded Castle Inner Gate(53)
Altus Plateau,AP,SH,4,Subterranean Inquisition Chamber,LOW,AP/SH: Smithing Stone [5] - W of SH,m60_38_54,Shaded Castle Ramparts(52) | Shaded Castle Inner Gate(52) | Seethewater River(52)
Altus Plateau,AP,SHG,8,Shaded Castle Inner Gate,LOW,AP/SHG: Ash of War: Lightning Ram - scarab SE of SHG,m60_40_51 m60_40_52 m60_41_52,
Altus Plateau,AP,STH,1,Subterranean Inquisition Chamber,LOW,AP/STH: Amber Starlight - by statue,m60_40_52,Seethewater River(53)
Altus Plateau,AP,TSC,1,,NONE,AP/TSC: Starlight Shards - N behind TSC by statue,m60_39_54,
Altus Plateau,AP,VW,2,,NONE,AP/VW: Four-Toed Fowl Foot x3 - to S by cart,m60_42_54,
Altus Plateau,AP,VWP,1,,NONE,AP/VWP: Raw Meat Dumpling x10 - in stable,m60_41_55,
Altus Plateau,AP,WV,1,Windmill Village,HIGH,AP/WV: Poison Grease - to W on left lower windmill stairs,m60_41_54,
Altus Plateau,AP,WWP,1,,NONE,AP/WWP: Giant Rat Ashes - in stable,m60_40_55,
Altus Plateau,AP,WbR,3,,NONE,AP/WbR: Golden Rune [4] - W of WbR on top of hill by group of enemies,m60_39_53,
Altus Plateau,AP,WhR,10,,NONE,AP/WhR: Deathroot - boss drop,m60_38_52,
Altus Plateau,TSC,CI,1,,NONE,TSC/CI: Dancer's Castanets - given by Patches just outside boss arena,m16_00_00,
Altus Plateau,TSC,SCIG,13,Shaded Castle Inner Gate,HIGH,TSC/SCIG: Perfume Bottle - top of lower shortcut ladder on ledge to W,m60_39_54,
Altus Plateau,TSC,SCR,18,Shaded Castle Ramparts,HIGH,TSC/SCR: \,m60_39_54,Subterranean Inquisition Chamber(53) | Shaded Castle Inner Gate(53)
Ancient Ruins of Rauh,ARR,ARGS,4,"Ancient Ruins, Grand Stairway",HIGH,"ARR/ARGS: Spirit Calculus - to SE down below, use stairs to NE",m61_45_45 m61_45_46 m61_46_46,
Ancient Ruins of Rauh,ARR,CBME,7,"Church of the Bud, Main Entrance",HIGH,ARR/CBME: Remembrance of the Saint of the Bud - mainboss drop,m61_44_45 m61_44_46 m61_45_46,
Ancient Ruins of Rauh,ARR,CMBE,1,,NONE,"ARR/CMBE: Talisman of All Crucibles - in chest to N downstairs, outside to ",m61_44_45,
Ancient Ruins of Rauh,ARR,RARE,10,"Rauh Ancient Ruins, East",HIGH,"ARR/RARE: Shadow Realm Rune [7] - to NW, up root on right side",m61_45_46 m61_45_47 m61_46_47,"Rauh Ancient Ruins, West(54)"
Ancient Ruins of Rauh,ARR,RARW,18,"Rauh Ancient Ruins, West",HIGH,"ARR/RARW: Scadutree Fragment - to W up stairs, by NW monument",m61_44_45 m61_44_46 m61_44_47 m61_45_45 m61_45_46 m61_45_47,
Ancient Ruins of Rauh,ARR,VMT,26,Viaduct Minor Tower,HIGH,"ARR/VMT: Broken Rune - down SW path, go right, left at door, below by pilla",m61_45_47 m61_45_48 m61_46_46 m61_46_47 m61_46_48 m61_47_47,
Bellum Highway,LL,BC,16,Bellum Church,HIGH,LL/BC: Nightrider Glaive - night boss drop S of BC,m60_36_48 m60_36_49 m60_37_49,
Bellum Highway,LL,CIn,2,Church of Inhibition,HIGH,LL/CIn: Vyke's War Spear - invader drop,m60_37_49,
Bellum Highway,LL,EME,3,,NONE,"LL/EME: Magic-Shrouding Cracked Tear - boss drop, Minor Erdtree",m60_38_48,
Bellum Highway,LL,FFVO,1,Frenzied Flame Village Outskirts,HIGH,"LL/FFVO: Burred Bolt x5 - to NW on rock down path, S of FFT",m60_38_49,
Bellum Highway,LL,GLD,3,,NONE,LL/GLD: Yellow Ember - to S on path below FFT,m60_38_49,
Belurat,BTS,BTS,14,"Belurat, Tower Settlement",HIGH,"BTS/BTS: Shadow Realm Rune [1] - to SE, behind statue",m20_00_00,
Belurat,BTS,SF,12,Stagefront,LOW,BTS/SF: Remembrance of the Dancing Lion - mainboss drop,m20_00_00,
Belurat,BTS,SPA,25,Small Private Altar,HIGH,BTS/SPA: Crusade Insignia - invader drop in NE courtyard,m20_00_00,
Belurat,BTS,TDB,2,Theatre of the Divine Beast,HIGH,BTS/TDB: Revered Spirit Ash - on statue after boss,m20_00_00,
Belurat Swamp,BTS,BTS,14,"Belurat, Tower Settlement",HIGH,BTS/BTS: Smithing Stone [2] x2 - by SW wall on building,m20_00_00,
Caelid,CL,ACHN,3,Astray from Caelid Highway North,LOW,CL/ACHN: Preserving Boluses x3 - Nomadic Merchant to E,m60_48_38,
Caelid,CL,ASS,1,Aeonia Swamp Shore,HIGH,CL/ASS: Ash of War: Poisonous Mist - scarab to SE,m60_48_37,
Caelid,CL,CCC,1,,NONE,CL/CCC: Somber Smithing Stone [4] - scarab E of CCC,m60_49_36,
Caelid,CL,CHS,9,Caelid Highway South,HIGH,CL/CHS: Golden Rune [1] 1 - graveyard to S,m60_47_37 m60_48_37,Chamber Outside the Plaza(53) | Chair-Crypt of Sellia(53)
Caelid,CL,CP,8,Church of the Plague,HIGH,CL/CP: Golden Rune [5] - far S of CP on pillar,m60_50_38 m60_50_39,Chamber Outside the Plaza(52) | Chair-Crypt of Sellia(52)
Caelid,CL,CR,6,Caelem Ruins,HIGH,"CL/CR: Whirl, O Flame! - scarab to NW",m60_47_40 m60_48_40,Church of the Plague(52) | Chamber Outside the Plaza(52) | Chair-Crypt of Sellia(52)
Caelid,CL,CWR,1,,NONE,CL/CWR: Poisonbloom x4 - S of CWR,m60_47_37,
Caelid,CL,DSW,3,Deep Siofra Well,HIGH,CL/DSW: Somber Smithing Stone [5] - to S after one way drop,m60_48_39 m60_48_40,
Caelid,CL,DW,3,Dragonbarrow West,HIGH,CL/DW: Golden Rune [1] - graveyard to S,m60_48_40,Deep Siofra Well(52)
Caelid,CL,FF,4,,NONE,CL/FF: Smithing Stone [7] - on skull SW of FF item 1,m60_50_39,
Caelid,CL,FGN,4,Fort Gael North,HIGH,CL/FGN: Explosive Greatbolt x5 - to S in camp,m60_47_38 m60_47_39,
Caelid,CL,FR,2,Fort Gael North,LOW,CL/FR: Somber Smithing Stone [4] - scarab on root arch S of FR,m60_47_39,
Caelid,CL,IA,6,Inner Aeonia,HIGH,CL/IA: Golden Rune [3] - Millicent invasion to S,m60_48_38 m60_49_38,Impassable Greatbridge(52)
Caelid,CL,IG,4,Impassable Greatbridge,HIGH,CL/IG: Ash of War: Cragblade - scarab to W,m60_49_36 m60_50_36,
Caelid,CL,MEW,5,,NONE,CL/MEW: Greenburst Crystal Tear - boss drop,m60_46_40 m60_47_40,
Caelid,CL,RB,7,Rotview Balcony,HIGH,CL/RB: Golden Rune [1] - graveyard to SW,m60_46_39 m60_46_40,
Caelid,CL,SASB,26,Southern Aeonia Swamp Bank,HIGH,CL/SASB: Crab Eggs x4 - to W,m60_48_37 m60_49_36 m60_49_37 m60_49_38,
Caelid,CL,SG,3,Smoldering Wall,LOW,CL/SG: Golden Rune [2] - S of SG,m60_49_37 m60_49_38,Smoldering Church(52)
Caelid,CL,SH,1,Southern Aeonia Swamp Bank,LOW,CL/SH: Beast Blood x2 - S of SH,m60_50_39,Smoldering Church(52)
Caelid,CL,SSR,1,Sellia Under-Stair,LOW,CL/SSR: Sacramental Bud - NW of SSR up roots,m60_48_39,Sellia Backstreets(53)
Caelid,CL,SUS,3,Sellia Under-Stair,HIGH,CL/SUS: Poison Armament - scarab to W,m60_49_39,Southern Aeonia Swamp Bank(53)
Caelid,CL,SW,3,Smoldering Wall,HIGH,CL/SW: Somber Smithing Stone [4] - chair half way down cliff to SW,m60_47_38 m60_47_39,Southern Aeonia Swamp Bank(52)
Capital Outskirts,CO,AHG,4,,NONE,CO/AHG: Seedbed Curse - on Boggart's body after becoming Dung Eater's victi,m60_44_52 m60_45_52,
Capital Outskirts,CO,HMS,9,Hermit Merchant's Shack,HIGH,CO/HMS: Golden Rune [10] - to E on high tip of cliff,m60_43_53 m60_44_52 m60_44_53,
Capital Outskirts,CO,ME,2,Minor Erdtree Church,MED,CO/ME: Great Arrow x10 - to S on rock,m60_44_52 m60_45_52,
Capital Outskirts,CO,MEC,1,Minor Erdtree Church,HIGH,CO/MEC: Smoldering Butterfly x3 - NE of MEC by gravestone,m60_43_50,
Capital Outskirts,CO,OWB,11,Outer Wall Battleground,HIGH,CO/OWB: Old Fang x3 - to SW in graveyard on big gravestone,m60_42_52 m60_43_52 m60_43_53,
Capital Outskirts,CO,OWPT,12,Outer Wall Phantom Tree,HIGH,CO/OWPT: Giant-Crusher - in caravan chest to S in camp,m60_42_50 m60_42_51 m60_43_51 m60_43_52,
Caria Manor,LL,BCM,6,Behind Caria Manor,HIGH,LL/BCM: Juvenile Scholar Cap - \,m60_36_50,
Caria Manor,LL,RM,8,Royal Moongazing Grounds,MED,LL/RM: Golden Rune [3] 1 - graveyard to NW,m60_34_50,Ranni's Chamber(52)
Caria Manor,LL,RMG,1,Royal Moongazing Grounds,HIGH,LL/RMG: Ash of War: Chilling Mist - scarab to W,m60_34_50,
Caria Manor,LL,RaR,4,Ranni's Rise,HIGH,LL/RaR: Royal Greatsword - kill angry Blaidd,m60_34_50,Royal Moongazing Grounds(53) | Ranni's Chamber(53)
Caria Manor,LL,SR,1,,NONE,LL/SR: Black Wolf Mask - on SE wall behind SR,m60_34_50,
Carian Study Hall (Inverted),LL,LTB,4,Liurnia Tower Bridge,HIGH,LL/LTB: Godskin Noble Hood - enemy drop to E,m34_11_00,
Castle Ensis,CE,CEC,27,Castle Ensis Checkpoint,HIGH,CE/CEC: Loyal Knight's Cookbook - in chest below grace,m61_47_44 m61_48_44,Castle-Lord's Chamber(53)
Castle Ensis,CE,CF,8,Castle Front,HIGH,CE/CF: Black Pyrefly x3 - to NE on left side of bridge,m61_47_44,
Castle Ensis,CE,CLC,3,Castle-Lord's Chamber,HIGH,CE/CLC: Remembrance of the Twin Moon Knight - mainboss drop,m61_48_44,Castle Ensis Checkpoint(53)
Cerulean Coast,CC,CC,10,Cerulean Coast,HIGH,CC/CC: Grave Glovewort [9] - to SW on giant coffin,m61_47_38 m61_47_39 m61_48_38 m61_48_39,Cerulean Coast West(97) | Cerulean Coast Cross(97)
Cerulean Coast,CC,CCC,15,Cerulean Coast Cross,HIGH,"CC/CCC: St. Trina Disciple's Cookbook [2] - to S, on corpse on fissure clif",m61_47_35 m61_47_36 m61_47_37 m61_48_37 m61_48_38 m61_49_37 m61_49_38,
Cerulean Coast,CC,CCW,21,Cerulean Coast West,HIGH,CC/CCW: Grave Keeper's Cookbook [1] - to E by giant tree,m61_46_38 m61_46_39 m61_46_40 m61_47_38 m61_47_39 m61_47_40,
Charo's Hidden Grave,CHG,CHG,17,Charo's Hidden Grave,HIGH,CHG/CHG: Glovewort Crystal Tear - furnace golem to W above river,m61_46_39 m61_46_40 m61_47_39 m61_48_38 m61_48_39 m61_48_40 m61_49_38,
Charo's Hidden Grave,CHG,LG,1,,NONE,CHG/LG: Ghost Glovewort [7] - NW of LG,m61_46_40,
Consecrated Snowfield,CS,AD,8,Apostate Derelict,HIGH,"CS/AD: Golden Rune [1] x6 - to SW, above breakable statue on cliff",m60_46_57 m60_47_57 m60_47_58 m60_48_57 m60_48_58,
Consecrated Snowfield,CS,AR,4,Apostate Derelict,LOW,CS/AR: Miquella's Lily x3 - SW of AR a litte left of pillar,m60_49_55 m60_49_56 m60_50_55,
Consecrated Snowfield,CS,CF,4,Consecrated Snowfield Catacombs,LOW,CS/CF: Strip of White Flesh x2 - W of CF on ice river,m60_49_56 m60_50_56,Consecrated Snowfield(52)
Consecrated Snowfield,CS,CS,17,Consecrated Snowfield,HIGH,CS/CS: Golden Rune [1] - graveyard to W,m60_48_54 m60_49_54 m60_49_55,Consecrated Snowfield Catacombs(97)
Consecrated Snowfield,CS,CSC,6,Consecrated Snowfield Catacombs,HIGH,CS/CSC: Old Fang x2 - W of CSC,m60_49_55 m60_50_55,Consecrated Snowfield(53)
Consecrated Snowfield,CS,HPH,1,,NONE,CS/HPH: Golden Rune [13] - follow right path after exiting dungeon,m60_49_54,
Consecrated Snowfield,CS,ICS,13,Inner Consecrated Snowfield,HIGH,CS/ICS: Golden Rune [13] - to SW on right side of big tree,m60_48_55 m60_48_56 m60_49_56,
Consecrated Snowfield,CS,ME,8,,NONE,CS/ME: Albinauric Bloodclot x2 - drop down twice NW of ME follow left cliff,m60_49_56 m60_49_57 m60_50_57,
Consecrated Snowfield,CS,OLT,6,"Ordina, Liturgical Town",HIGH,CS/OLT: Cuckoo Glintstone x8 - on ruin to E,m60_48_57,
Consecrated Snowfield,CS,YAR,7,,NONE,"CS/YAR: Hero's Rune [2] - NW of YAR, W of second big tree on fallen tree ov",m60_47_56,
Consecrated Snowfield,CS,YAT,1,Yelough Anix Tunnel,HIGH,"CS/YAT: Smithing Stone [7] - E of YAT, by broken cart",m60_47_55,
Deeproot Depths,DD,AR,5,Across the Roots,HIGH,DD/AR: Fia's Mist - boss drop,m12_03_00,
Deeproot Depths,DD,DD,11,Deeproot Depths,HIGH,DD/DD: Map: Deeproot Depths - path to NE in gazebo,m12_03_00,
Deeproot Depths,DD,GWC,17,Great Waterfall Crest,HIGH,DD/GWC: Ash of War: Golden Land - scarab to S,m12_03_00,
Deeproot Depths,DD,TNEC,37,The Nameless Eternal City,LOW,DD/TNEC: Somber Smithing Stone [6] - scarab to NW on some roots,m12_03_00,
Deeproot Depths Boss,DD,AR,5,Across the Roots,HIGH,"DD/AR: Inseparable Sword - kill D Twin at NEC if you killed D, or at end of",m12_02_00,Ancestral Woods(52)
Deeproot Depths Boss,DD,PDT,4,Prince of Death's Throne,HIGH,DD/PDT: Mending Rune of the Death-Prince - on Fia after mainboss,m12_03_00,
Deeproot Depths Upper,DD,RFC,8,Root-Facing Cliffs,HIGH,DD/RFC: Formic Rock - on far SE ledge,m12_03_00,
Divine Tower of Limgrave,SV,LTB,4,Limgrave Tower Bridge,HIGH,SV/LTB: Warming Stone - to E down right side of bridge,m34_10_00,
Dragonbarrow,DB,BS,6,Bestial Sanctum,HIGH,DB/BS: Gargoyle's Blackblade - boss drop SE of BS,m60_51_43,
Dragonbarrow,DB,DT,4,,NONE,DB/DT: Arteria Leaf x2 - chair circle S of DT,m60_49_41,
Dragonbarrow,DB,DW,1,Dragonbarrow Fork,LOW,DB/DW: Somber Smithing Stone [8] - scarab to NE,m60_49_41,
Dragonbarrow,DB,FF,2,Fort Faroth,HIGH,DB/FF: Dragon Heart x5 - enemy drop W of FF,m60_50_40 m60_51_39,
Dragonbarrow,DB,FG,3,,NONE,DB/FG: Somber Smithing Stone [9] - scarab to W,m60_51_42 m60_52_41 m60_52_43,
Dragonbarrow,DB,IMS,1,Isolated Merchant's Shack,HIGH,DB/IMS: Ash of War: Sky Shot - scarab W of IMS,m60_48_41,
Dragonbarrow,DB,LR,6,Lenne's Rise,HIGH,DB/LR: Bestial Constitution - scarab W of LR,m60_51_41 m60_52_41,
Dragonbarrow,DB,MEE,4,,NONE,DB/MEE: Opaline Hardtear - boss drop,m60_51_40,
Ellac River,ER,ERC,9,Ellac River Cave,HIGH,ER/ERC: Silver Horn Tender - to NW on corpse pile,m61_46_44 m61_47_42 m61_47_43,
Ellac River,ER,ERD,7,Ellac River Downstream,HIGH,ER/ERD: Thin Beast Bones x6 - to NE behind rock pillar,m61_47_41 m61_48_40,
Ellac River,ER,RC,2,,NONE,ER/RC: Mushroom-Seller's Bell Bearing [1] - hanging pot W of RC,m61_46_44 m61_46_45,
"Elphael, Brace of the Haligtree",EBH,DC,8,Drainage Channel,HIGH,EBH/DC: Golden Rune [10] - to W up the ladder,m15_00_00,
"Elphael, Brace of the Haligtree",EBH,EIW,24,Elphael Inner Wall,HIGH,EBH/EIW: Millicent's Prosthesis - invade Millicent or kill in altus,m15_00_00,
"Elphael, Brace of the Haligtree",EBH,HP,1,Haligtree Promenade,HIGH,EBH/HP: Ancient Dragon Smithing Stone - in chest up stairs after ladder,m15_00_00,Haligtree Town Plaza(52) | Haligtree Canopy(52)
"Elphael, Brace of the Haligtree",EBH,HR,7,Haligtree Roots,HIGH,EBH/HR: Malenia's Great Rune - mainboss drop,m15_00_00,Haligtree Town Plaza(52) | Haligtree Town(52) | Haligtree Promenade(52)
"Elphael, Brace of the Haligtree",EBH,PR,25,Prayer Room,HIGH,EBH/PR: Lord's Rune - boss drop to E on outer wall,m15_00_00,
Enir Ilim,BTS|EI,SR,2,Spiral Rise,HIGH,"BTS|EI/SR: Euporia - outside to SE downstairs, drop down from gazebo, after",m20_00_00,Stagefront(52) | Small Private Altar(52)
Enir Ilim,EI,CCA,23,Cleansing Chamber Anteroom,HIGH,EI/CCA: Leda's Armor - on Leda's body after npc boss,m20_01_00,
Enir Ilim,EI,DGFS,1,Divine Gate Front Staircase,HIGH,EI/DGFS: Remembrance of a God and a Lord - mainboss drop,m20_01_00,
Enir Ilim,EI,FR,14,First Rise,HIGH,EI/FR: Messmerfire Grease - to SE on stairs,m20_01_00,
Enir Ilim,EI,GD,6,Gate of Divinity,HIGH,EI/GD: Thiollier's Hidden Needle - on Thiollier's body to NW,m20_01_00,
Enir Ilim,EI,OW,1,,NONE,EI/OW: Somber Smithing Stone [9] - by grace,m20_01_00,
Enir Ilim,EI,SR,23,Spiral Rise,HIGH,"EI/SR: Inquisitor Ashes - outside to SE downstairs, down left of gazebo und",m20_01_00,Stagefront(52) | Small Private Altar(52)
Farum Azula,FA,CBG,6,Crumbling Beast Grave,HIGH,FA/CBG: Old Fang x3 - to E on right,m13_00_00,Crumbling Beast Grave Depths(98)
Farum Azula,FA,CBGD,5,Crumbling Beast Grave Depths,HIGH,"FA/CBGD: Great Grave Glovewort - to W out balcony, up roof, far end of room",m13_00_00,
Farum Azula,FA,DT,11,Dragon Temple,HIGH,"FA/DT: Dragonwound Grease x2 - inside, down path left before curved stairs,",m13_00_00,Dragon Temple Transept(97) | Dragon Temple Rooftop(97) | Dragon Temple Lift(97)
Farum Azula,FA,DTT,2,Dragon Temple Transept,HIGH,FA/DTT: Smithing-Stone Miner's Bell Bearing [4] - boss drop,m13_00_00,Dragon Temple Rooftop(53) | Dragon Temple Lift(53) | Dragon Temple Altar(53)
Farum Azula,FA,MotG,2,,NONE,FA/MotG: Smithing Stone [8] - just after warping to FA,m13_00_00,
Farum Azula,FA,TFB,18,Tempest-Facing Balcony,HIGH,"FA/TFB: Smithing Stone [8] - to SW down elevator, to right in miniboss aren",m13_00_00,
Farum Azula Main,FA,BGB,12,Beside the Great Bridge,HIGH,"FA/BGB: Blasphemous Claw - kill invader Bernahl, to NE end of path",m13_00_00,
Farum Azula Main,FA,DTA,11,Dragon Temple Altar,HIGH,FA/DTA: Golden Rune [11] - to NW by pillar jump,m13_00_00,Dragon Temple Transept(53)
Farum Azula Main,FA,DTL,17,Dragon Temple Lift,HIGH,"FA/DTL: Ancient Dragon Apostle's Cookbook [4] - to SE up right path, W of s",m13_00_00,Dragon Temple Transept(53) | Dragon Temple Rooftop(53) | Dragon Temple Altar(53)
Farum Azula Main,FA,DTR,18,Dragon Temple Rooftop,HIGH,FA/DTR: Somber Ancient Dragon Smithing Stone - to SE in gazebo,m13_00_00,Dragon Temple Transept(53) | Dragon Temple Altar(53)
Finger Ruins of Rhia,CC,FRR,2,Finger Ruins of Rhia,HIGH,CC/FRR: Shadow Realm Rune [2] - to S on beach,m61_50_38,
Flame Peak,FP,CR,5,Church of Repose,HIGH,FP/CR: Ancient Dragon Smithing Stone - SE of CR in skull,m60_51_53,
Flame Peak,FP,FF,12,Foot of the Forge,HIGH,FP/FF: Smithing Stone [7] - close to NW,m60_51_53 m60_52_52 m60_52_53 m60_52_54,
Flame Peak,FP,GCHG,8,Giant-Conquering Hero's Grave,HIGH,"FP/GCHG: Somber Smithing Stone [7] - E of GCHG, to S after jump",m60_50_53 m60_51_53 m60_51_54,
Flame Peak,FP,GG,6,Giants' Gravepost,HIGH,FP/GG: Warming Stone x2 - to SW middle of path,m60_51_53 m60_51_54 m60_52_54,Giant-Conquering Hero's Grave(52)
Forbidden Lands,FL,FL,4,Forbidden Lands,HIGH,FL/FL: Drawstring Fire Grease x2 - to W,m60_47_51 m60_48_51,
Forbidden Lands,FL,GLR,5,,NONE,FL/GLR: Somber Smithing Stone [7] - to S in skull just past seedtree,m60_48_51 m60_49_52,
Frenzied Flame Proscription,FFP,CF,11,Cathedral of the Forsaken,HIGH,"FFP/CF: Frenzied's Cookbook [2] - to NE, top of third plank",m35_00_00,
Frenzied Flame Proscription,FFP,FFP,3,Frenzied Flame Proscription,HIGH,FFP/FFP: Frenzied Flame Seal - given by Hyetta at end of her quest,m35_00_00,
Gravesite Plain,GP,AS,1,,NONE,"GP/AS: Greater Potentate's Cookbook [5] - NW of AS, on W cliffside",m61_46_40,
Gravesite Plain,GP,BG,6,,NONE,GP/BG: Serpent Crest Shield - painting reward SE of BG,m61_45_43 m61_45_44,
Gravesite Plain,GP,CB,5,,NONE,"GP/CB: Pata - NE of CB, overlooking drop",m61_46_40,
Gravesite Plain,GP,CC,5,Castle Ensis Checkpoint,LOW,"GP/CC: Glass Shard - S of CC, near carts",m61_47_40 m61_48_41,
Gravesite Plain,GP,CF,16,Castle Front,HIGH,"GP/CF: Grave Glovewort [5] - up E path, NE of left camp on ledge",m61_47_43 m61_47_44 m61_47_45 m61_48_42 m61_48_43 m61_49_43,Cliffroad Terminus(52)
Gravesite Plain,GP,CRT,1,Cliffroad Terminus,LOW,"GP/CRT: Revered Spirit Ash - to SE, overlooking WNM",m61_45_41,Castle Front(53)
Gravesite Plain,GP,GN,2,"Greatbridge, North",HIGH,"GP/GN: Ash of War: Savage Lion's Claw - to SW, in makeshift campsite",m61_45_43 m61_45_44,Gravesite Plain(52)
Gravesite Plain,GP,GP,2,Gravesite Plain,HIGH,"GP/GP: Lump of Flesh x2 - to SE, behind arch overlooking cliff",m61_47_40,
Gravesite Plain,GP,MGC,26,Main Gate Cross,HIGH,GP/MGC: Verdigris Greatshield - on Moore's body,m61_45_41 m61_45_42,
Gravesite Plain,GP,PPC,15,Pillar Path Cross,HIGH,GP/PPC: Deadly Poison Perfume Bottle - Thiollier / Moore Shop,m61_45_42 m61_48_43,
Gravesite Plain,GP,PPW,2,Pillar Path Waypoint,HIGH,GP/PPW: Herbalist's Bell Bearing - hanging pot down SW path on right cliff ,m61_47_41 m61_48_42,
Gravesite Plain,GP,PT,8,Pillar Path Waypoint,LOW,"GP/PT: Ghost Glovewort [4] - W of PT, in front of gravestone",m61_44_41 m61_45_41,Pillar Path Cross(52)
Gravesite Plain,GP,SP,1,,NONE,GP/SP: Smithing Stone [2] x3 - in camp S of SP,m61_48_41,
