# CHANNELS.tsv -- which TAG each published channel currently points at. Append-only.
#
# THE CHANNEL IS A POINTER, NOT A VERSION SUFFIX, and that is forced rather than chosen:
# Archipelago calls tuplize_version() on archipelago.json's world_version when it loads an apworld,
# and that raises on any prerelease form ('0.3.8-beta.1' -> ValueError). A suffix is a load-time
# crash, not a label. So every build keeps a strict X.Y.Z and a tag, and a channel names one.
#
# Promotion is a new ROW, never an edit: "when did stable last move, and to what" is a question
# somebody will ask after a bad release, and an overwritten cell cannot answer it.
#
# Measured cadence 2026-08-08 over 30 tags (v0.1 .. v0.3.7, 34 days): MEDIAN GAP 0.82 DAYS.
# Daily is not an aspiration here, it is what already happens -- which is why stable can be the
# newest tag rather than a slow-moving one, and why the skew this file exists to bound is ~1 day.
#
# channel  tag      promoted_on  note
# Website label: `beta -> main` is the Development channel. CI publishes that moving pointer as
# the GitHub prerelease tag `dev`; stable continues to name an immutable vX.Y.Z tag from this ledger.
stable	v0.3.7	2026-08-07	newest tag at the time this ledger was created
stable	v0.6.0.5	2026-09-08	fifth fixpack on the 0.6.0 line, and a one-table window: greenfield/flag_lots.tsv re-derived against the committed param corpus (the 2026-09-03 param re-export had sat for four days beside a table that disagreed with it), with tools/datamine_flag_lots.py finally wired into tools/regen_all.py and given an explicit --check in the generators job so it cannot drift again. 157 rows move and 25 are added. CONTRACT_HASH unmoved at 613fb438 and no location name, item tier or wire field changes, so an older 0.6.0-line client pairs with it unchanged -- but SEEDS DO CHANGE: item_ids.LOCATION_UNITS joins on FullID and now reads 885 multi-copy locations paying 2871 extra units instead of 922 / 2982, every moved row a DLC smithing stone. The client half was a version stamp only (clients#660). 🛑 The 2.7.1.0 game-patch support and the MapForGoblins c015cb3f build are NOT in this release: #1487 and #1489 merged after this tag and their notes were moved to the v0.6.0.6 section, which is the version that ships them. Promoted in the v0.6.0.6 window-open commit so latest.json and the stable wizard move with the tag.
beta	main	2026-09-08	the open v0.6.0.6 window
stable	v0.6.0.6	2026-09-09	sixth fixpack on the 0.6.0 line, and the one a Steam update made mandatory: Elden Ring 2.7.1.0 client support (clients #662 -- every earlier client refuses that executable at the version gate, so this is REQUIRED on 2.7.1.0 and optional on 2.6.2.x / 2.7.0.x), the 255 notebook batch worked one row at a time (three newly missable pickups, ten checks re-homed by the game's own play-area volumes, the Ymir/Metyr rewards put behind the Hole-Laden Necklace, and ten checks no object actually holds removed -- which RENUMBERS the AP location ids from 7770795 up, so v0.6.0.7 seeds differ from v0.6.0.6 ones while running seeds and saves are untouched), the AP Flower atlas override rebuilt from the 2.7.1.0 menu files and back in the bundle with the two stale atlases now refused by checksum, the MapForGoblins c015cb3f engine bump (map-overlay use-after-free fixed, in-logic-only on by default, progression rings gone), the clients #663 bridge that lets a v0.5.7 / v0.5.8 run stranded by the Steam update finish on this client, clients #669 (untagged DirectInput devices no longer leak connect-modal keystrokes into the game) and clients #670 (sweep boss names regenerated). CONTRACT_HASH unmoved at 613fb438. Promoted in the v0.6.0.7 window-open commit so latest.json and the stable wizard move with the tag rather than on a later morning -- both v0.6.0.6 release workflows succeeded, which is the condition this row waits on.
beta	main	2026-09-11	the open v0.6.0.9 window
stable	v0.6.0.7	2026-09-10	seventh fixpack on the 0.6.0 line: the free-respec prototype in the client overlay (clients #673, Respec action or !respec, native rebirth screen anywhere before Rennala with no Larval Tear spent -- unusually broad playtest coverage before the cut), the start_region_selection: uniform YAML option (#1548, equal odds across kept base-game and DLC regions, default weighted unchanged), the AP Flower atlas rebuilt from 2.7.1.0 so New Game class previews and Tarnished weapon icons load again (v0.6.0.6 carry-over, pack_release now refuses the stale atlas by hash), the six optional HTML tools bundled as Optional-Offline-Tools.zip (#1546), the ALttPR duplicate-item repair helper for the mixed-room assertion (#1542), and the oracle-audited region and quest-reward corrections (#1537). CONTRACT_HASH unmoved at 613fb438 since v0.6.0.3, so any 0.6.0.3+ client plays these seeds; Elden Ring 2.7.1.0 still needs v0.6.0.6+, Respec needs v0.6.0.7+. Promoted HERE, in the window-open commit, rather than after a morning smoke: the cut tag rode on the same client the respec playtesters ran all week and the same atlas smoked in-game for v0.6.0.6, so there is nothing left to wait on.
beta	main	2026-09-11	the open v0.6.0.9 window
stable	v0.6.0.8	2026-09-11	eighth fixpack on the 0.6.0 line, mostly client hygiene plus two region-evidence batches: traps already eaten no longer replay after a reconnect or character recovery, nor rebroadcast over TrapLink (clients #675, saves migrate on their own); the main-menu phantom save slot -1 can no longer bind item delivery ahead of the real character (clients #678, from Poppy's log); every audited 0.5.0 through 0.5.8 seed plays on this client through the legacy contract path, which is how an old async gets Elden Ring 2.7.1.0 support (clients #676, #677); the furnace golem rewards rebuilt from the complete c5170 MSB census with the missing Furnace Visage restored (#1544); and twelve region corrections from native MapForGoblins placements and route evidence (#1538). CONTRACT_HASH unmoved at 613fb438 since v0.6.0.3, so any 0.6.0.3+ client plays these seeds; 2.7.1.0 still needs v0.6.0.6+, Respec v0.6.0.7+. Promoted HERE, in the window-open commit: the client changes are guards on paths that were already failing in the field, the world changes are new-room-only region data behind a full regen and fill regression, and the cut rode a single tag delivery with green release workflows, so there is nothing left to wait on.
beta	main	2026-09-11	the open v0.6.0.9 window
stable	v0.6.0.9	2026-09-12	Tagged v0.6.0.9: map performance and missing-pin fixes; recorded while opening the next window
beta	main	2026-09-12	the open v0.6.0.10 window
stable	v0.6.0.10	2026-09-12	TODO(open) -- what this window shipped, and why the promotion is paid HERE rather than tomorrow morning
beta	main	2026-09-12	the open v0.6.0.11 window
