# HAND-MAINTAINED. For every item our own logic treats as the key to a VANILLA PHYSICAL DOOR, this
# records WHAT THE GAME READS when the player tries that door -- an "obtained" event flag, or plain
# inventory possession -- and the evidence for the claim.
#
# WHY IT EXISTS. The client grants goods into the inventory. Some vanilla gates do not read the
# inventory: they read a dedicated "obtained" event flag that a raw grant never trips. When that
# happens the player holds the key, the door stays shut, and NOTHING tells anyone -- not the player,
# not us. That has now happened three times (Rold Medallion 400001, 2026-06-19, proven in game;
# the whetblade affinity flags, #240; and -- reported by a player on 0.2.18 and still open --
# Leyndell's Great Runes and the Academy Glintstone Key). Each was found by a person walking into a
# wall, because the client's table (crates/eldenring-archipelago/src/keyitems.rs) is a WHITELIST
# whose failure mode is silence.
#
# This file makes the silence loud. `tests/test_gf_key_item_gate_classification.py` DERIVES the
# population from the features themselves -- natural_progression.GATE_CLAUSES, legacy_key_gates
# (_LEGACY_KEYS + the multi-key gaol), leyndell_gate.GREAT_RUNES, legible_keys.CAPSTONE_VANILLA_KEYS
# -- and fails if any member is missing a row here. You cannot add a gate and forget this file.
#
# mechanism:
#   obtained_flag      the gate reads an event flag. The client MUST set it on receipt. flags = the ids.
#   possession         the gate reads the inventory. A plain grant is enough. flags = "-".
#   not_a_vanilla_gate our logic uses the item as a region token; the game has no door for it. flags = "-".
#   UNVERIFIED         we have not established which. Counted by the ratchet below; not safe, just honest.
#
# evidence_tier:
#   in_game    someone walked it, in our client. The only tier that closes the question.
#   datamine   read out of params/EMEVD/ESD or itemevents.txt. Strong; not proof of our grant path.
#   assumed    reasoning only. LEGAL ONLY ON `UNVERIFIED` -- a confident row must cite something.
#
# 🛑 UNVERIFIED IS DEBT, NOT A RESTING PLACE. The test pins the count and lets it only go DOWN.
# Do not reclassify a row to make the number smaller; move it by measuring it.
#
# item	mechanism	flags	evidence_tier	evidence
Mohg's Great Rune	obtained_flag	195	datamine	EMEVD probe 2026-08-01; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). This row claimed the capital calls common $Event(720) 大ルーン解放数チェック with threshold 2 -- FALSE: that probe verified 720's DEFINITION (`CountEventFlags(EventFlag, 190, 199)` over the RESTORED band) but never traced a call site, and nothing in the 589-file corpus reads 720's outputs 160-167. The 王都の封印 (Seal of the Royal Capital, m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is the output of common $Event(730) 大ルーン所持数チェック slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2` over the POSSESSION band. Possession flags 171-177 are engine-set by the boss lots' getItemFlagId (lot 10010 -> 171, ItemLotParam_map.csv) plus one-shot relief $Event(6905) -- a raw goods grant sets none of them. Zero sites gate on rune GOODS (ITEM-ARG 0/6). THIS row's flag 195 is the Divine-Tower RESTORE flag: m34_14_00_00 `InitializeCommonEvent(0, 90005110, 195, ..., 8152, ...)`, where 90005110 (common_func) does AwardItemsIncludingClients + RemoveItemFromPlayer(Goods, 8152) + SetEventFlagID(eventFlagId, ON). So keyitems.rs writing 195 is CORRECT for marking the rune restored; the GATE is covered separately -- keyitems.rs writes 105+182 directly at >=2 AP-received runes (LEYNDELL_TWO_RUNES_FLAGS). NB the rune<->flag pairing here is our catalog's, corroborated by the tower map. #276.
Malenia's Great Rune	obtained_flag	196	datamine	EMEVD probe 2026-08-01; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). This row claimed the capital calls common $Event(720) 大ルーン解放数チェック with threshold 2 -- FALSE: that probe verified 720's DEFINITION (`CountEventFlags(EventFlag, 190, 199)` over the RESTORED band) but never traced a call site, and nothing in the 589-file corpus reads 720's outputs 160-167. The 王都の封印 (Seal of the Royal Capital, m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is the output of common $Event(730) 大ルーン所持数チェック slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2` over the POSSESSION band. Possession flags 171-177 are engine-set by the boss lots' getItemFlagId (lot 10010 -> 171, ItemLotParam_map.csv) plus one-shot relief $Event(6905) -- a raw goods grant sets none of them. Zero sites gate on rune GOODS (ITEM-ARG 0/6). THIS row's flag 196 is the Divine-Tower RESTORE flag: m34_15_00_00 `InitializeCommonEvent(0, 90005110, 196, ..., 8153, ...)`, where 90005110 (common_func) does AwardItemsIncludingClients + RemoveItemFromPlayer(Goods, 8153) + SetEventFlagID(eventFlagId, ON). So keyitems.rs writing 196 is CORRECT for marking the rune restored; the GATE is covered separately -- keyitems.rs writes 105+182 directly at >=2 AP-received runes (LEYNDELL_TWO_RUNES_FLAGS). NB the rune<->flag pairing here is our catalog's, corroborated by the tower map. #276.
Great Rune of the Unborn	obtained_flag	197	datamine	EMEVD probe 2026-08-01 + Alaric's ruling 2026-08-06 (#427) and 2026-08-16; GATE DERIVATION CORRECTED 2026-08-22 (clients#392). The wall counts the POSSESSION band 170-179, not the restored band 190-199 as this row claimed: the 王都の封印 (m60_45_52_00/.10 $Event(1045522500)) reads `EventFlag(182) && EventFlag(105)`; 182 is common $Event(730) slot 2 = `CountEventFlags(EventFlag, 170, 179) >= 2`. This rune differs from 191-196: those are Divine-Tower RESTORE flags (common 90005110, which CONSUMES the goods), and there is no Divine Tower for the Unborn rune. 197 is Rennala's ACQUISITION flag -- her drop awards goods 10180 (Remembrance) + 10181 (this rune, goods 10080). It advances the wall through one-shot relief $Event(6905) 救済対応_伍, which maps 197 -> 177 (and the other six runes' lot-obtained flags 510xxx -> 171-176) into the counted band -- so the kill alone advances the wall, via 177, not via 197 sitting in 190-199. 🛑 OPEN ITEM, ALARIC'S CALL, NOT SAFE TO GUESS AT: keyitems.rs writes 191-196 and has NO entry for this rune, and the obvious fix (writing 197) COLLIDES -- flag 197 backs our own co-check ap 7900004, so writing it may spend that check (quest flags double as lot awards). For the GATE the gap is moot while keyitems.rs writes 105+182 directly at >=2 AP-received runes; what a 197 write would add is the game's own acquisition state. The fallback previously noted here (write 190/198/199 as unaccounted band members) is DEAD under the corrected derivation -- nothing reads the restored counter's outputs 160-167, so those flags open nothing. Until ruled on, the flag recorded here is what the GAME reads, not what we write.
Academy Glintstone Key	possession	-	datamine	EMEVD probe 2026-08-01 (tools/probe_vanilla_gate_predicates.py over 589 files / 4893 events): goods 8109 appears in THREE possession checks and no flag site -- `if (!PlayerHasItem(ItemType.Goods, 8109))` in m60_35_45_00 $Event(1035452600), m60_35_46_00 $Event(1035462600), m60_36_47_00 $Event(1036472600), all named 紋章ワープ_開始 (Crest warp_start) -- i.e. the Academy Gate Town transporter reads the INVENTORY. A plain AP grant is sufficient; no flag write is owed. #276.
Carian Inverted Statue	possession	-	datamine	m34_11_00_00 $Event(34112150), lines 111-139 in the gen_inputs.db corpus: the pedestal action tests `PlayerHasItem(ItemType.Goods, 8111)`, then removes goods 8111 after the inversion cutscene. A plain AP grant is sufficient; no obtained-event flag is owed. The world models the two evidenced f34117500 checks behind it in #653.
Hole-Laden Necklace	possession	-	datamine	Both Finger Ruins bell ObjActs are DISABLED unless PlayerHasItem(ItemType.Goods, 2008008): m61_53_46 $Event(2053462600), m61_50_40 $Event(2050402600). Possession, not an obtained flag, so a raw client grant does trip it. The bells set 2053460600/2050400600, common.emevd $Event(9440) ANDs them, and m61_51_45 $Event(2051452600) needs 9440 && 2051450180 to open the throne to Metyr. Logic gates both bell checks (2053467600 Rhia, 2050407000 Dheo) on the necklace and, when both regions are live, Metyr 510550 on both regions' Locks. A sealed Jagged Peak has no Dheo check, so only then is its bell supplied. Both bell checks are KeyItem-tagged, so filler sweeps cannot bypass them.
Gaol Upper Level Key	UNVERIFIED	-	assumed	Lamenter's Gaol nested cells (m41_02). Both vanilla sources sit INSIDE the gaol, so a silent gate here strands hard. Predicate unmeasured.
Gaol Lower Level Key	UNVERIFIED	-	assumed	As Upper. Predicate unmeasured.
Rusty Key	UNVERIFIED	-	assumed	Stormveil side-door in GATE_CLAUSES. Predicate unmeasured.
Rya's Necklace	UNVERIFIED	-	assumed	Mt. Gelmir / Volcano Manor invitation route in GATE_CLAUSES. Predicate unmeasured.
Pureblood Knight's Medal	UNVERIFIED	-	assumed	Mohgwyn portal route; 400032 is in the itemevents 4000xx family, which is a REASON to measure it, not a classification. Injected via gen_data.GLOBAL_RECOVER.
Messmer's Kindling	UNVERIFIED	-	assumed	Enir-Ilim finale gate (spec S4) and the Promised Consort capstone in legible_keys. Predicate unmeasured.
Fingerslayer Blade	UNVERIFIED	-	assumed	Astel / Ainsel capstone in legible_keys (Nokron chest -> Ranni's questline). Predicate unmeasured.
Deathroot	UNVERIFIED	-	assumed	Maliketh capstone in legible_keys; vanilla path is Gurranq CONSUMING N deathroot, which is a count, not a door. Predicate unmeasured.
Barbed Staff-Spear	UNVERIFIED	-	assumed	Abyssal Woods token in GATE_CLAUSES (Jori's signature drop). Predicate unmeasured.
Aspects of the Crucible: Thorns	UNVERIFIED	-	assumed	Shadow Keep token in GATE_CLAUSES. Predicate unmeasured.
Dragon-Hunter's Great Katana	UNVERIFIED	-	assumed	Jagged Peak token in GATE_CLAUSES. Predicate unmeasured.
Inquisitor's Girandole	UNVERIFIED	-	assumed	Altus via the Ruin-Strewn Precipice route in GATE_CLAUSES. Predicate unmeasured.
Magma Wyrm's Scalesword	UNVERIFIED	-	assumed	Altus via the Ruin-Strewn Precipice route in GATE_CLAUSES. Predicate unmeasured.
Remembrance of the Grafted	UNVERIFIED	-	assumed	Liurnia token in GATE_CLAUSES. Vanilla almost certainly has no door keyed on a remembrance -- but "almost certainly" is what we said about the whetblades' zero EMEVD sites, twice, and were wrong both times.
Remembrance of the Starscourge	UNVERIFIED	-	assumed	Underworld bloc token in GATE_CLAUSES. As Grafted.
Remembrance of the Fire Giant	UNVERIFIED	-	assumed	Farum Azula token in GATE_CLAUSES. As Grafted.
Remembrance of the Blood Lord	UNVERIFIED	-	assumed	DLC entry token in GATE_CLAUSES. As Grafted.
Remembrance of the Twin Moon Knight	UNVERIFIED	-	assumed	Scadu Altus token in GATE_CLAUSES. As Grafted.
