synthetic_flag	item	annotation	verdict	real_flag	evidence
160960	Golden Rune [3]	RLA/SC: Golden Rune [3] - down cog elevator, to NW item 1	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 31 candidates [1034477120,1034477130,1034477160,1034477180,1034477190,1034507010,1034507050,1034507060,1034507080,1035447030,1035447100,1035507060,1036507010,1037427000,1037437000,1037487010,1037487020,1037487050,1037487080,1038497040,1039417000,1039427030,1039437040,1039437060,14007280,14007510,14007750,30067020,31047000,32027020,34117010]; unclaimed=[none]. 1034477120: ItemLotParam_map ID=1034471020 grants 'Golden Rune [3]', slot getItemFlagId=1034477120; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034477130: ItemLotParam_map ID=1034471030 grants 'Golden Rune [3]', slot getItemFlagId=1034477130; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034477160: ItemLotParam_map ID=1034471060 grants 'Golden Rune [3]', slot getItemFlagId=1034477160; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034477180: ItemLotParam_map ID=1034471080 grants 'Golden Rune [3]', slot getItemFlagId=1034477180; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034477190: ItemLotParam_map ID=1034471090 grants 'Golden Rune [3]', slot getItemFlagId=1034477190; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034507010: ItemLotParam_map ID=1034500010 grants 'Golden Rune [3]', slot getItemFlagId=1034507010; lot is placed in map m60_34_50 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034507050: ItemLotParam_map ID=1034500050 grants 'Golden Rune [3]', slot getItemFlagId=1034507050; lot is placed in map m60_34_50 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034507060: ItemLotParam_map ID=1034500060 grants 'Golden Rune [3]', slot getItemFlagId=1034507060; lot is placed in map m60_34_50 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1034507080: ItemLotParam_map ID=1034500080 grants 'Golden Rune [3]', slot getItemFlagId=1034507080; lot is placed in map m60_34_50 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1035447030: ItemLotParam_map ID=1035440030 grants 'Golden Rune [3]', slot getItemFlagId=1035447030; lot is placed in map m60_35_44 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1035447100: ItemLotParam_map ID=1035440100 grants 'Golden Rune [3]', slot getItemFlagId=1035447100; lot is placed in map m60_35_44 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1035507060: ItemLotParam_map ID=1035500060 grants 'Golden Rune [3]', slot getItemFlagId=1035507060; lot is placed in map m60_35_50 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1036507010: ItemLotParam_map ID=1036500010 grants 'Golden Rune [3]', slot getItemFlagId=1036507010; lot is placed in map m60_36_50 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1037427000: ItemLotParam_map ID=1037420000 grants 'Golden Rune [3]', slot getItemFlagId=1037427000; lot is placed in map m60_37_42 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1037437000: ItemLotParam_map ID=1037430000 grants 'Golden Rune [3]', slot getItemFlagId=1037437000; lot is placed in map m60_37_43 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1037487010: ItemLotParam_map ID=1037480010 grants 'Golden Rune [3]', slot getItemFlagId=1037487010; lot is placed in map m60_37_48 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1037487020: ItemLotParam_map ID=1037480020 grants 'Golden Rune [3]', slot getItemFlagId=1037487020; lot is placed in map m60_37_48 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1037487050: ItemLotParam_map ID=1037480050 grants 'Golden Rune [3]', slot getItemFlagId=1037487050; lot is placed in map m60_37_48 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1037487080: ItemLotParam_map ID=1037480080 grants 'Golden Rune [3]', slot getItemFlagId=1037487080; lot is placed in map m60_37_48 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1038497040: ItemLotParam_map ID=1038490040 grants 'Golden Rune [3]', slot getItemFlagId=1038497040; lot is placed in map m60_38_49 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1039417000: ItemLotParam_map ID=1039410000 grants 'Golden Rune [3]', slot getItemFlagId=1039417000; lot is placed in map m60_39_41 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1039427030: ItemLotParam_map ID=1039420030 grants 'Golden Rune [3]', slot getItemFlagId=1039427030; lot is placed in map m60_39_42 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1039437040: ItemLotParam_map ID=1039430040 grants 'Golden Rune [3]', slot getItemFlagId=1039437040; lot is placed in map m60_39_43 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 1039437060: ItemLotParam_map ID=1039430060 grants 'Golden Rune [3]', slot getItemFlagId=1039437060; lot is placed in map m60_39_43 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 14007280: ItemLotParam_map ID=14000280 grants 'Golden Rune [3]', slot getItemFlagId=14007280; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 14007510: ItemLotParam_map ID=14000510 grants 'Golden Rune [3]', slot getItemFlagId=14007510; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 14007750: ItemLotParam_map ID=14000750 grants 'Golden Rune [3]', slot getItemFlagId=14007750; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 30067020: ItemLotParam_map ID=30060020 grants 'Golden Rune [3]', slot getItemFlagId=30067020; lot is placed in map m30_06 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 31047000: ItemLotParam_map ID=31040000 grants 'Golden Rune [3]', slot getItemFlagId=31047000; lot is placed in map m31_04 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 32027020: ItemLotParam_map ID=32020020 grants 'Golden Rune [3]', slot getItemFlagId=32027020; lot is placed in map m32_02 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1] ;; 34117010: ItemLotParam_map ID=34110010 grants 'Golden Rune [3]', slot getItemFlagId=34117010; lot is placed in map m34_11 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 1]
160970	Avionette Soldier Ashes	RLA/SC: Avionette Soldier Ashes - down cog elevator, to NW item 2	DUPLICATE	14007290	ItemLotParam_map ID=14000290 grants 'Avionette Soldier Ashes', slot getItemFlagId=14007290; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: down cog elevator, to NW item 2] || flag ALREADY CLAIMED by ap_id=7002197 (Avionette Soldier Ashes, method=treasure) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
170070	Crystal Dart	LL/CFT: Crystal Dart x3 - SW under CFT	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 6 candidates [1035507070,1039427010,1039487000,14007330,14007520,14007620]; unclaimed=[none]. 1035507070: ItemLotParam_map ID=1035500070 grants 'Crystal Dart', slot getItemFlagId=1035507070; lot is placed in map m60_35_50 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: SW under CFT] ;; 1039427010: ItemLotParam_map ID=1039420010 grants 'Crystal Dart', slot getItemFlagId=1039427010; lot is placed in map m60_39_42 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: SW under CFT] ;; 1039487000: ItemLotParam_map ID=1039480000 grants 'Crystal Dart', slot getItemFlagId=1039487000; lot is placed in map m60_39_48 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: SW under CFT] ;; 14007330: ItemLotParam_map ID=14000330 grants 'Crystal Dart', slot getItemFlagId=14007330; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: SW under CFT] ;; 14007520: ItemLotParam_map ID=14000520 grants 'Crystal Dart', slot getItemFlagId=14007520; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: SW under CFT] ;; 14007620: ItemLotParam_map ID=14000620 grants 'Crystal Dart', slot getItemFlagId=14007620; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: SW under CFT]
170080	Golden Rune [4]	RLA/CC: Golden Rune [4] - outside, S after bridge, drop down off ledge, to E in corner	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 21 candidates [1034477200,1034477220,1034507020,1035447020,1035447050,1035507010,1035507170,1037447000,1037487070,1038427010,1039507020,14007200,14007250,14007350,14007450,14007470,14007530,14007600,14007710,31047010,34117060]; unclaimed=[none]. 1034477200: ItemLotParam_map ID=1034471100 grants 'Golden Rune [4]', slot getItemFlagId=1034477200; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1034477220: ItemLotParam_map ID=1034471120 grants 'Golden Rune [4]', slot getItemFlagId=1034477220; lot is placed in map m60_34_47 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1034507020: ItemLotParam_map ID=1034500020 grants 'Golden Rune [4]', slot getItemFlagId=1034507020; lot is placed in map m60_34_50 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1035447020: ItemLotParam_map ID=1035440020 grants 'Golden Rune [4]', slot getItemFlagId=1035447020; lot is placed in map m60_35_44 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1035447050: ItemLotParam_map ID=1035440050 grants 'Golden Rune [4]', slot getItemFlagId=1035447050; lot is placed in map m60_35_44 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1035507010: ItemLotParam_map ID=1035500010 grants 'Golden Rune [4]', slot getItemFlagId=1035507010; lot is placed in map m60_35_50 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1035507170: ItemLotParam_map ID=1035500170 grants 'Golden Rune [4]', slot getItemFlagId=1035507170; lot is placed in map m60_35_50 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1037447000: ItemLotParam_map ID=1037440000 grants 'Golden Rune [4]', slot getItemFlagId=1037447000; lot is placed in map m60_37_44 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1037487070: ItemLotParam_map ID=1037480070 grants 'Golden Rune [4]', slot getItemFlagId=1037487070; lot is placed in map m60_37_48 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1038427010: ItemLotParam_map ID=1038420010 grants 'Golden Rune [4]', slot getItemFlagId=1038427010; lot is placed in map m60_38_42 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 1039507020: ItemLotParam_map ID=1039500020 grants 'Golden Rune [4]', slot getItemFlagId=1039507020; lot is placed in map m60_39_50 (lot-id map convention) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007200: ItemLotParam_map ID=14000200 grants 'Golden Rune [4]', slot getItemFlagId=14007200; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007250: ItemLotParam_map ID=14000250 grants 'Golden Rune [4]', slot getItemFlagId=14007250; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007350: ItemLotParam_map ID=14000350 grants 'Golden Rune [4]', slot getItemFlagId=14007350; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007450: ItemLotParam_map ID=14000450 grants 'Golden Rune [4]', slot getItemFlagId=14007450; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007470: ItemLotParam_map ID=14000470 grants 'Golden Rune [4]', slot getItemFlagId=14007470; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007530: ItemLotParam_map ID=14000530 grants 'Golden Rune [4]', slot getItemFlagId=14007530; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007600: ItemLotParam_map ID=14000600 grants 'Golden Rune [4]', slot getItemFlagId=14007600; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 14007710: ItemLotParam_map ID=14000710 grants 'Golden Rune [4]', slot getItemFlagId=14007710; lot is placed in map m14_00 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 31047010: ItemLotParam_map ID=31040010 grants 'Golden Rune [4]', slot getItemFlagId=31047010; lot is placed in map m31_04 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner] ;; 34117060: ItemLotParam_map ID=34110060 grants 'Golden Rune [4]', slot getItemFlagId=34117060; lot is placed in map m34_11 (msb_flag_region) which belongs to AP region 'Liurnia of the Lakes' [annotation says: outside, S after bridge, drop down off ledge, to E in corner]
170500	Ritual Pot	LL/(CM): Ritual Pot - Pidia shop	DUPLICATE	66450	ShopLineupParam ID=100326 equipId=9501 equipType=3 eventFlag_forStock=66450; merchant block 100300-100399 stocks 2/2 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000143 (Ritual Pot, method=emevd) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
170540	Glintstone Craftsman's Cookbook [7]	LL/(CM): Glintstone Craftsman's Cookbook [7] - Pidia shop	DUPLICATE	67470	ShopLineupParam ID=100325 equipId=9347 equipType=3 eventFlag_forStock=67470; merchant block 100300-100399 stocks 2/2 of this merchant's phantom items || flag ALREADY CLAIMED by ap_id=7000199 (Glintstone Craftsman's Cookbook [7], method=emevd) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
170550	Ghost Glovewort [4]	TSC/SCIG: Ghost Glovewort [4] - enemy drop to E middle courtyard	UNRECOVERABLE		no item lot grants 'Ghost Glovewort [4]' inside AP region 'Eternal Cities' (maps searched: m12_01,m12_02,m12_03,m12_04,m12_07,m12_08,m12_09) || the item IS granted by 14 lot(s) elsewhere: maps=[m40_00 x1,m40_02 x1,m61_44 x1]; 11 lot(s) have no MSB map binding at all (enemy/event lots) so they cannot be map-scoped || context: 0 existing AP location(s) already grant 'Ghost Glovewort [4]' in this region
170560	Ghost Glovewort [4]	TSC/SCR: Ghost Glovewort [4] - enemy drop SW inner swamp, N end behind tree	UNRECOVERABLE		no item lot grants 'Ghost Glovewort [4]' inside AP region 'Eternal Cities' (maps searched: m12_01,m12_02,m12_03,m12_04,m12_07,m12_08,m12_09) || the item IS granted by 14 lot(s) elsewhere: maps=[m40_00 x1,m40_02 x1,m61_44 x1]; 11 lot(s) have no MSB map binding at all (enemy/event lots) so they cannot be map-scoped || context: 0 existing AP location(s) already grant 'Ghost Glovewort [4]' in this region
170570	Rot Grease	TSC/SCIG: Rot Grease x3 - to E middle courtyard	DUPLICATE	12017110	ItemLotParam_map ID=12010110 grants 'Rot Grease', slot getItemFlagId=12017110; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to E middle courtyard] || flag ALREADY CLAIMED by ap_id=7001694 (Rot Grease, method=treasure) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row
180270	Traveler's Hat	CL/(SSR): Traveler's Hat - in raised ruin	DUPLICATE	1048387010	"ItemLotParam_map ID=1048380011 grants ""Traveler's Hat"", slot getItemFlagId=1048387010; lot is placed in map m60_48_38 (lot-id map convention) which belongs to AP region 'Caelid' [annotation says: in raised ruin] || flag ALREADY CLAIMED by ap_id=7004360 (, method=treasure) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row || NOTE: phantom(s) 180470 resolve to this same real flag (one game flag cannot back two AP locations)"
180460	Golden Rune [4]	CL/(SSR): Golden Rune [4] - in SW Ruin	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 9 candidates [1045397000,1048377030,1048387000,1049387080,30147040,31217080,31217110,31217160,32087100]; unclaimed=[none]. 1045397000: ItemLotParam_map ID=1045390000 grants 'Golden Rune [4]', slot getItemFlagId=1045397000; lot is placed in map m60_45_39 (lot-id map convention) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 1048377030: ItemLotParam_map ID=1048370030 grants 'Golden Rune [4]', slot getItemFlagId=1048377030; lot is placed in map m60_48_37 (msb_flag_region) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 1048387000: ItemLotParam_map ID=1048380000 grants 'Golden Rune [4]', slot getItemFlagId=1048387000; lot is placed in map m60_48_38 (msb_flag_region) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 1049387080: ItemLotParam_map ID=1049380080 grants 'Golden Rune [4]', slot getItemFlagId=1049387080; lot is placed in map m60_49_38 (lot-id map convention) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 30147040: ItemLotParam_map ID=30140040 grants 'Golden Rune [4]', slot getItemFlagId=30147040; lot is placed in map m30_14 (lot-id map convention) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 31217080: ItemLotParam_map ID=31210080 grants 'Golden Rune [4]', slot getItemFlagId=31217080; lot is placed in map m31_21 (msb_flag_region) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 31217110: ItemLotParam_map ID=31210110 grants 'Golden Rune [4]', slot getItemFlagId=31217110; lot is placed in map m31_21 (msb_flag_region) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 31217160: ItemLotParam_map ID=31210160 grants 'Golden Rune [4]', slot getItemFlagId=31217160; lot is placed in map m31_21 (msb_flag_region) which belongs to AP region 'Caelid' [annotation says: in SW Ruin] ;; 32087100: ItemLotParam_map ID=32080100 grants 'Golden Rune [4]', slot getItemFlagId=32087100; lot is placed in map m32_08 (msb_flag_region) which belongs to AP region 'Caelid' [annotation says: in SW Ruin]
180470	Perfumer's Traveling Garb	CL/(SSR): Perfumer's Traveling Garb - in raised ruin	DUPLICATE	1048387010	"ItemLotParam_map ID=1048380012 grants ""Perfumer's Traveling Garb"", slot getItemFlagId=1048387010; lot is placed in map m60_48_38 (lot-id map convention) which belongs to AP region 'Caelid' [annotation says: in raised ruin] || flag ALREADY CLAIMED by ap_id=7004360 (, method=treasure) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row || NOTE: phantom(s) 180270 resolve to this same real flag (one game flag cannot back two AP locations)"
180790	Ghost Glovewort [9]	CS/(OLT): Ghost Glovewort [9] - enemy drop in evergaol, under stairs to haligtree seal	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 4 candidates [1048577900,1048577910,1048577920,1048577930]; unclaimed=[none]. 1048577900: ItemLotParam_map ID=1048570900 grants 'Ghost Glovewort [9]', slot getItemFlagId=1048577900; lot is placed in map m60_48_57 (lot-id map convention) which belongs to AP region 'Mountaintops of the Giants' [annotation says: enemy drop in evergaol, under stairs to haligtree seal] ;; 1048577910: ItemLotParam_map ID=1048570910 grants 'Ghost Glovewort [9]', slot getItemFlagId=1048577910; lot is placed in map m60_48_57 (lot-id map convention) which belongs to AP region 'Mountaintops of the Giants' [annotation says: enemy drop in evergaol, under stairs to haligtree seal] ;; 1048577920: ItemLotParam_map ID=1048570920 grants 'Ghost Glovewort [9]', slot getItemFlagId=1048577920; lot is placed in map m60_48_57 (lot-id map convention) which belongs to AP region 'Mountaintops of the Giants' [annotation says: enemy drop in evergaol, under stairs to haligtree seal] ;; 1048577930: ItemLotParam_map ID=1048570930 grants 'Ghost Glovewort [9]', slot getItemFlagId=1048577930; lot is placed in map m60_48_57 (lot-id map convention) which belongs to AP region 'Mountaintops of the Giants' [annotation says: enemy drop in evergaol, under stairs to haligtree seal]
180810	Rotten Duelist Greaves	CS/OLT: Rotten Duelist Greaves - enemy drop NW of OLT	DUPLICATE	1048577990	ItemLotParam_enemy ID=340052100 grants 'Rotten Duelist Greaves', slot getItemFlagId=1048577990; lot is placed in map m60_48_57 (msb_flag_region) which belongs to AP region 'Mountaintops of the Giants' [annotation says: enemy drop NW of OLT] || flag ALREADY CLAIMED by ap_id=7004413 (Rotten Duelist Greaves, method=global) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row || NOTE: phantom(s) 180940 resolve to this same real flag (one game flag cannot back two AP locations)
180940	Rotten Greataxe	CS/OLT: Rotten Greataxe - enemy drop NW of OLT	DUPLICATE	1048577990	ItemLotParam_enemy ID=340052101 is the ONLY lot in the entire game that grants 'Rotten Greataxe' (slot getItemFlagId=1048577990, map=unbound(event/enemy lot)) -> placement proven by global uniqueness; note the phantom is filed under AP region 'Mountaintops of the Giants' while the real check's map resolves to 'unknown' || flag ALREADY CLAIMED by ap_id=7004413 (Rotten Duelist Greaves, method=global) -> phantom row duplicates an existing AP location; fix = DELETE the phantom row || NOTE: phantom(s) 180810 resolve to this same real flag (one game flag cannot back two AP locations)
190290	Somber Smithing Stone [7]	NS/NEC: Somber Smithing Stone [7] - to W, on corpse overlooking AR boss arena	AMBIGUOUS		EVERY candidate real flag is ALREADY claimed by another AP location, so whichever one this phantom means, the check already exists -> the phantom row is redundant and DELETE is safe even though the exact counterpart is not pinned. 11 candidates [12017380,12017700,12017780,12017890,12017940,12017995,12037230,12037240,12037250,12037330,12037530]; unclaimed=[none]. 12017380: ItemLotParam_map ID=12010380 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12017380; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12017700: ItemLotParam_map ID=12010700 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12017700; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12017780: ItemLotParam_map ID=12010780 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12017780; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12017890: ItemLotParam_map ID=12010890 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12017890; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12017940: ItemLotParam_map ID=12010940 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12017940; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12017995: ItemLotParam_map ID=12015995 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12017995; lot is placed in map m12_01 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12037230: ItemLotParam_map ID=12030230 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12037230; lot is placed in map m12_03 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12037240: ItemLotParam_map ID=12030240 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12037240; lot is placed in map m12_03 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12037250: ItemLotParam_map ID=12030250 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12037250; lot is placed in map m12_03 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12037330: ItemLotParam_map ID=12030330 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12037330; lot is placed in map m12_03 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena] ;; 12037530: ItemLotParam_map ID=12030530 grants 'Somber Smithing Stone [7]', slot getItemFlagId=12037530; lot is placed in map m12_03 (msb_flag_region) which belongs to AP region 'Eternal Cities' [annotation says: to W, on corpse overlooking AR boss arena]
