# AUTO-GENERATED by tools/build_questline_dag.py -- DO NOT EDIT, re-emit.
# TIER 1 of docs/specs/SPEC-questline-dag-20260728.md: EMIT THE GRAPH, ASSERT NOTHING.
# Directed edges over EVENT FLAGS. target_flag is always a live AP check.
#   sense=set     the source must be SET   -> a PREREQUISITE. A CANDIDATE access rule, not one yet.
#   sense=clear   the source must be CLEAR -> an EXCLUSION. Never an access rule; this is the
#                 argument FOR the missable tag.
#   sense=unknown the corpus does not encode the polarity. UNUSABLE. Tallied, never guessed.
# 🛑 NOTHING IN THE WORLD READS THIS FILE. Every check named here keeps its missable tag.
# 🛑 An edge is CO-OCCURRENCE + a polarity rule, not proof: datamine_lot_gates pairs every flag test
#   in an event with every award in it, so a test on a branch that never reaches the award is here.
# 🛑 ABSENCE IS NOT SAFETY. Every corpus below reads an AWARD SITE. A questline that gates whether a
#   FIGHT EXISTS leaves no award-site trace -- f510110 (Fortissax), the case this spec was written
#   from, is absent BY CONSTRUCTION and the tool asserts that absence out loud.
# alt_group groups edges READ AT ONE SITE; `group_semantics` says what that grouping MEANS, and it
#   is `unknown` unless the data proves otherwise -- `any` only for separate call sites of one
#   common event (f400191's three triggers), `all` only for the `&&` conjuncts of one enabler
#   condition (f1039537050's three). 🛑 An earlier version called EVERY group "alternatives"; that
#   was OUR claim wearing the game's clothes, and an OR read of a conjunction is an
#   UNDER-constrained rule. A consumer may act on `any` / `all` only.
# source_locator: how the source's region was placed -- flag_decode > setter_map > common_map >
#   test_map (WEAKEST: where the flag MATTERS, not where it lives -- good enough for a missable tag,
#   never for an access rule). Empty = unplaced.
# MEASURED THIS RUN (recomputed on every emit; the tool hard-fails on a degenerate parse):
#   edges 300 over 164 target check(s) | sense: set 153, clear 22, unknown 125
#   by tool: esd_gifts 112, lot_gates 176, treasure_enablers 12
#   source kind: check 5, npc_state 106, world 189
#   targets: 116 with a PREREQUISITE (sense=set), 16 with an EXCLUSION (sense=clear)
#   CORROBORATION: 88 of 164 target check(s) are ALREADY missable-tagged (54%); the tag set holds 289 checks in total
#   cross-region edges: 59 (10 whose target is NOT missable-tagged)
#   alt_group semantics: all 2, any 11, single 164, unknown 39 (a group claims OR/AND only where the DATA proves it)
#   edges DEGRADED to unusable by a guard (each is a refusal, not a loss): context-branch-unresolved 7, enabler-not-an-eventflag-test-above-the-enable 2, esd-paths-disagree 3, esd-received-memo 83, lot_gates-senses-disagree 2, treasure-verb-crossproduct 28
#   source flags LABELLED from FromSoft's own event names: 201 of 300 edge(s) (67%); by emevd_batch 1, emevd_event 95, esd_talk 105
#   source region located by: none 120, esd_talk_map 40, flag_decode 83, setter_map 42, test_map 15
#   dropped rows (a filter with no tally is a lie): esd_gifts:duplicate-row 3, esd_gifts:lot-has-no-flag 51, esd_gifts:self-loop 1, esd_gifts:sentinel-source 2, esd_gifts:target-not-a-live-check 129, lot_gates:duplicate-row 51, treasure_enablers:duplicate-row 3, treasure_enablers:no-entity-handle 66
#   contexts with NO polarity rule (-> unknown, never guessed): !EventFlag 1, ? 6, EventFlag 1, GotoIf 2, if 1
# ACCEPTANCE (SPEC §7, asserted on the finished pipeline by name):
#   [ok] f400191 Golden Seed / Stormhill Shack -- 3 triggers in ONE alt_group with semantics=any (separate call sites of one common event); found gates [3708, 3709, 1041389414] in 1 group(s), semantics ['any']
#   [ok] f400191 polarity -- every trigger is a POSITIVE prerequisite (commonarg/WaitFor); senses ['set']
#   [ok] f1039537050 Gelmir enabler -- a CONJUNCTION, not alternatives -- three `&&` conjuncts of one WaitFor must read semantics=all; got ['all']
#   [ok] f400001 Rold Medallion (Melina handover) -- the easy end of the graph: 1 ESD-gift edge(s)
#   [ok] f65660 <- 11007992 -- the EndIf INVERSION -- `EndIf(EventFlag(X))` ends the event when X is SET, so the award below needs X CLEAR; reading it the naive way mints a false prerequisite. senses ['clear']
#   [ok] f400470 <- 1047419201 -- the ESD gate_sense=1 mapping -- Great-Jar's Arsenal is handed over behind a SET flag; if the 1/0 mapping inverts, this is the fixture that says so. senses ['set']
#   [ok] f580600 <- 9146 (treasure enabler) -- the one known real cross-region prerequisite; senses ['set']
#   [ok] f510110 Fortissax -- ABSENT BY CONSTRUCTION -- no award-site corpus can see an arena-existence gate; absence here is the BLIND SPOT, never evidence of safety (SPEC §5)
source_flag	target_flag	sense	evidence	tool	source_label	source_label_ja	label_source	label_setters	basis	alt_group	group_semantics	source_kind	source_region	source_locator	target_region	cross_region	target_ap_id	target_name
3383	400033	unknown	EndIf(EventFlag(400033)); EndIf(EventFlag(3383)); Wai	lot_gates	NPC310 Castle Lord's Daughter_Character state transition	NPC310城主の娘_キャラ状態遷移	emevd_event	3	lot_gates-senses-disagree	lot_gates:400033:3051	unknown	world	Liurnia	setter_map	Liurnia	no	7770558	Liurnia :: Lord of Blood's Favor - m10_01 (2) [f400033]
400031	400033	set	EndIf(EventFlag(400033)); EndIf(!EventFlag(400031)); Wai	lot_gates					endif-negated-bailout	lot_gates:400033:10010791	single	check			Liurnia	unknown	7770558	Liurnia :: Lord of Blood's Favor - m10_01 (2) [f400033]
400031	400033	set	EndIf(EventFlag(400033)); EndIf(!EventFlag(400031)); Wai	lot_gates					endif-negated-bailout	lot_gates:400033:1037493700	single	check			Liurnia	unknown	7770558	Liurnia :: Lord of Blood's Favor - m10_01 (2) [f400033]
400031	400033	set	EndIf(EventFlag(3383)); WaitFor(EventFlag(400031) && EventF	lot_gates					waitfor-blocks-until-set	lot_gates:400033:3051	unknown	check			Liurnia	unknown	7770558	Liurnia :: Lord of Blood's Favor - m10_01 (2) [f400033]
35009209	400033	clear	ventFlag(400031) && EventFlag(3383) && !EventFlag(35009209)); End	lot_gates	set by NPC talk 310003500 on m35_00_00_00		esd_talk	2	waitfor-negated	lot_gates:400033:3051	unknown	npc_state	Leyndell	test_map	Liurnia	yes	7770558	Liurnia :: Lord of Blood's Favor - m10_01 (2) [f400033]
12059166	400037	set	$InitializeCommonEvent(90005750) arg5	lot_gates	set by NPC talk 301101205 on m12_05_00_00		esd_talk	1	commonarg-positive-by-construction	lot_gates:400037:90005750	single	npc_state			Mohgwyn	unknown	7770560	Mohgwyn :: Varre's Bouquet - around Palace Approach Ledge-Road, may be sweep-granted by Mohg, Lord of Blood (m12_05) [f400037]
10009360	400050	unknown	talk 302001000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302001000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
10009360	400050	unknown	talk 302011000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302011000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
10009360	400050	unknown	talk 302021000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302021000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
10009360	400050	unknown	talk 302031000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302031000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
10009360	400050	unknown	talk 302041000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302041000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
10009360	400050	unknown	talk 302051000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302051000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
10009360	400050	unknown	talk 302061000 gate_sense=0 lot 100500	esd_gifts	set by NPC talk 302001000 on m10_00_00_00		esd_talk	7	esd-received-memo	esd_gifts:400050:302061000	single	npc_state			Limgrave	unknown	7770561	Limgrave :: Grace Mimic - around Waypoint Ruins Cellar, may be sweep-granted by Mad Pumpkin Head (m60_44_36) [f400050]
1033442181	400061	set	$InitializeCommonEvent(90005792) arg1	lot_gates					commonarg-positive-by-construction	lot_gates:400061:90005792	single	world	Liurnia	flag_decode	Liurnia	no	7900005	Liurnia :: Rancorcall - around Revenger's Shack, may be sweep-granted by Erdtree Avatar (m60_33_43) [f400061]
1043319208	400061	set	$InitializeCommonEvent(90005750) arg5	lot_gates	Peninsula Fort Castle Lord_NPC initialization event_Initial state	半島砦の城主_NPC初期化イベント_初期状態	emevd_event	1	commonarg-positive-by-construction	lot_gates:400061:90005750	any	world	Weeping	flag_decode	Liurnia	yes	7900005	Liurnia :: Rancorcall - around Revenger's Shack, may be sweep-granted by Erdtree Avatar (m60_33_43) [f400061]
1045349258	400061	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC311 Lord of the Peninsula Fort_NPC initialization event_Daughter's body discovered	NPC311半島砦の城主_NPC初期化イベント_娘の遺体発見	emevd_event	1	commonarg-positive-by-construction	lot_gates:400061:90005750	any	world			Liurnia	unknown	7900005	Liurnia :: Rancorcall - around Revenger's Shack, may be sweep-granted by Erdtree Avatar (m60_33_43) [f400061]
16009215	400070	unknown	talk 300001600 gate_sense=1 lot 100700	esd_gifts	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400070:300001600	unknown	npc_state	Mt. Gelmir	esd_talk_map	Altus	yes	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]
16009221	400070	unknown	talk 300001600 gate_sense=1 lot 100700	esd_gifts	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400070:300001600	unknown	npc_state	Mt. Gelmir	esd_talk_map	Altus	yes	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]
2048439206	400070	unknown	talk 419002200 gate_sense=1 lot 100700	esd_gifts	set by NPC talk 419002200 on m22_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400070:419002200	unknown	npc_state	Gravesite	flag_decode	Altus	yes	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]
2048439225	400070	unknown	talk 419002200 gate_sense=1 lot 100700	esd_gifts	set by NPC talk 419002200 on m22_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400070:419002200	unknown	npc_state	Gravesite	flag_decode	Altus	yes	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]
2048439228	400070	unknown	talk 419002200 gate_sense=1 lot 100700	esd_gifts	set by NPC talk 419002200 on m22_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400070:419002200	unknown	npc_state	Gravesite	flag_decode	Altus	yes	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]
2048439235	400070	unknown	talk 419002200 gate_sense=1 lot 100700	esd_gifts	set by NPC talk 419002200 on m22_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400070:419002200	unknown	npc_state	Gravesite	flag_decode	Altus	yes	7770563	Altus :: Tonic of Forgetfulness - around Road of Iniquity Side Path, may be sweep-granted by Wormface (m60_41_53) [f400070]
16009266	400071	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC300 Mistress of the Volcano Hall_Items appear after defeating the escort	NPC300火山館の女主人_護衛撃破後アイテム出現	emevd_event	1	commonarg-positive-by-construction	lot_gates:400071:90005750	single	world	Mt. Gelmir	setter_map	Mt. Gelmir	no	7900006	Mt. Gelmir :: Consort's Robe - around Volcano Manor, may be sweep-granted by Abductor Virgin (Swinging Sickle) (m16_00) [f400071]
16009208	400072	unknown	talk 300001600 gate_sense=0 lot 100720	esd_gifts	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400072:300001600	single	npc_state	Mt. Gelmir	esd_talk_map	Mt. Gelmir	no	7770565	Mt. Gelmir :: Drawing-Room Key - Talk to Tanith [f400072]
16009270	400072	set	$InitializeCommonEvent(90005750) arg5	lot_gates					commonarg-positive-by-construction	lot_gates:400072:90005750	single	world			Mt. Gelmir	unknown	7770565	Mt. Gelmir :: Drawing-Room Key - Talk to Tanith [f400072]
16009208	400073	set	$InitializeCommonEvent(90005750) arg5	lot_gates	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	commonarg-positive-by-construction	lot_gates:400073:90005750	single	npc_state			Mt. Gelmir	unknown	7770566	Mt. Gelmir :: Letter from Volcano Manor - around Volcano Manor (1), may be sweep-granted by Abductor Virgin (Swinging Sickle) (m16_00) [f400073]
16009216	400074	set	$InitializeCommonEvent(90005750) arg5	lot_gates	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	commonarg-positive-by-construction	lot_gates:400074:90005750	single	npc_state			Mt. Gelmir	unknown	7770567	Mt. Gelmir :: Letter from Volcano Manor - around Volcano Manor (2), may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400074]
16009217	400075	set	$InitializeCommonEvent(90005750) arg5	lot_gates	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	commonarg-positive-by-construction	lot_gates:400075:90005750	single	npc_state			Mt. Gelmir	unknown	7770568	Mt. Gelmir :: Red Letter - around Volcano Manor, may be sweep-granted by Godskin Noble (m16_00) [f400075]
16009215	400076	unknown	talk 300001600 gate_sense=1 lot 100760	esd_gifts	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400076:300001600	single	npc_state	Mt. Gelmir	esd_talk_map	Mt. Gelmir	no	7770569	Mt. Gelmir :: [Sorcery] Magma Shot - around Volcano Manor, may be sweep-granted by Abductor Virgin (Swinging Sickle) (m16_00) [f400076]
16009267	400076	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC300 Mistress of the Volcano Hall_Respond after defeating Rykard without completing the request.	NPC300火山館の女主人_依頼未達成でライカード撃破後対応	emevd_event	1	commonarg-positive-by-construction	lot_gates:400076:90005750	single	world	Mt. Gelmir	setter_map	Mt. Gelmir	no	7770569	Mt. Gelmir :: [Sorcery] Magma Shot - around Volcano Manor, may be sweep-granted by Abductor Virgin (Swinging Sickle) (m16_00) [f400076]
16009215	400077	unknown	talk 300001600 gate_sense=1 lot 100770	esd_gifts	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400077:300001600	single	npc_state	Mt. Gelmir	esd_talk_map	Mt. Gelmir	no	7770570	Mt. Gelmir :: Serpentbone Blade - around Volcano Manor, may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400077]
16009268	400077	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC300 Mistress of the Volcano Hall_Respond after defeating Rykard without completing the request.	NPC300火山館の女主人_依頼未達成でライカード撃破後対応	emevd_event	1	commonarg-positive-by-construction	lot_gates:400077:90005750	single	world	Mt. Gelmir	setter_map	Mt. Gelmir	no	7770570	Mt. Gelmir :: Serpentbone Blade - around Volcano Manor, may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400077]
16009237	400078	unknown	talk 300001600 gate_sense=0 lot 100780	esd_gifts	set by NPC talk 300001600 on m16_00_00_00		esd_talk	1	esd-received-memo	esd_gifts:400078:300001600	single	npc_state	Mt. Gelmir	esd_talk_map	Mt. Gelmir	no	7770571	Mt. Gelmir :: Taker's Cameo - around Volcano Manor, may be sweep-granted by Godskin Noble (m16_00) [f400078]
16009269	400078	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC300 Mistress of the Volcano Hall_Respond after defeating Rykard without completing the request.	NPC300火山館の女主人_依頼未達成でライカード撃破後対応	emevd_event	1	commonarg-positive-by-construction	lot_gates:400078:90005750	single	world	Mt. Gelmir	setter_map	Mt. Gelmir	no	7770571	Mt. Gelmir :: Taker's Cameo - around Volcano Manor, may be sweep-granted by Godskin Noble (m16_00) [f400078]
1045349207	400080	unknown	talk 310003500 gate_sense=0 lot 100800	esd_gifts	set by NPC talk 310003500 on m35_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400080:310003500	single	npc_state	Leyndell	esd_talk_map	Weeping	yes	7773707	Weeping :: Irina's Letter - m60_45_34 (region unconfirmed), may be sweep-granted by Night's Cavalry (m60_44_32) [f400080]
1045349207	400080	unknown	talk 310006000 gate_sense=0 lot 100800	esd_gifts	set by NPC talk 310003500 on m35_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400080:310006000	single	npc_state	Leyndell	esd_talk_map	Weeping	yes	7773707	Weeping :: Irina's Letter - m60_45_34 (region unconfirmed), may be sweep-granted by Night's Cavalry (m60_44_32) [f400080]
35009211	400089	set	$InitializeCommonEvent(90005750) arg5	lot_gates	NPC310 Castle Lord's Daughter_Item light appearance timing adjustment	NPC310城主の娘_アイテム光出現タイミング調整	emevd_event	1	commonarg-positive-by-construction	lot_gates:400089:90005750	single	world	Leyndell	setter_map	Leyndell	no	7770572	Leyndell :: Frenzied Flame Seal - around Underground Roadside, may be sweep-granted by Mohg, the Omen (m35_00) [f400089]
1037429210	400090	unknown	talk 313001600 gate_sense=0 lot 100900	esd_gifts	set by NPC talk 313001600 on m16_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400090:313001600	single	npc_state	Liurnia	flag_decode	Mt. Gelmir	yes	7773708	Mt. Gelmir :: Volcano Manor Invitation - around Volcano Manor, may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400090]
1037429210	400090	unknown	talk 313006000 gate_sense=0 lot 100900	esd_gifts	set by NPC talk 313001600 on m16_00_00_00		esd_talk	2	esd-received-memo	esd_gifts:400090:313006000	single	npc_state	Liurnia	flag_decode	Mt. Gelmir	yes	7773708	Mt. Gelmir :: Volcano Manor Invitation - around Volcano Manor, may be sweep-granted by Rykard, Lord of Blasphemy (m16_00) [f400090]
