# AUTO-GENERATED by tools/sweep_unnamed_items.py -- DO NOT EDIT, re-emit.
# One row per UNNAMED item-lot row, recording every corpus that was searched
# for it. A '-' means SEARCHED AND ABSENT, not 'not looked at'.
# 🛑 msb_searched is NO for every row: the witchy'd MSBs stay on the Windows
#    box. That half is a NAMED GAP, not a silence.
# data.py inputs_hash at sweep time: sha256:ab0b6587d981c12135e947368e0ac6e9eb9828dc3c2f5fbbd2ca4a3831d03cae
# Re-run: python tools/gen_inputs.py --extract && python tools/sweep_unnamed_items.py
flag	region	lot	category	item_id	expected_fmg_family	verdict	fmg_hit	fmg_hit_base_id	name_if_found	param_row_exists	emevd_files	lot_in_emevd	talk_files	corpora_searched	msb_searched
1048387010	Caelid	1048380011	3	100000	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Traveler's Hat	EquipParamProtector,EquipParamWeapon,ItemLotParam_map	-	-	m00_00_00_00-only/t000003000.py,m10_00_00_00-only/t302001000.py,m10_00_00_00-only/t302011000.py	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
1048387010	Caelid	1048380012	3	100100	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Perfumer's Traveling Garb	EquipParamProtector,EquipParamWeapon,ItemLotParam_map	-	-	m11_10_00_00-only/t600001110.py,m16_00_00_00-only/t309001600.py,m22_00_00_00-only/t419002200.py	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
1048387010	Caelid	1048380013	3	100200	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Traveler's Gloves	EquipParamProtector,EquipParamWeapon,ItemLotParam_map	-	-	m00_00_00_00-only/t000001000.py,m10_00_00_00-only/t304001000.py,m10_00_00_00-only/t325001000.py	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
1048387010	Caelid	1048380014	3	100300	Weapon	WRONG FAMILY: id resolves only in Protector -- the category 3 -> family map is the open question	Protector	-	Traveler's Slops	EquipParamProtector,EquipParamWeapon,ItemLotParam_map	-	-	m11_10_00_00-only/t600001110.py,m60_00_00_00-only/t301006000.py,m60_00_00_00-only/t307006000.py	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
1048387020	Caelid	948380020	1	401	Goods	NAMABLE: own-category FMG after stripping reinforcement (base 400)	-	Goods	Roped Fire Pot	-	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045447010	Gravesite	2045440010	6	4411061	Goods	ABSENT from every param and FMG here -- MSBs are the only stone left	-	-	-	-	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477510	Rauh Base	2045470510	2	2550001	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477520	Rauh Base	2045470520	2	2550002	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477530	Rauh Base	2045470530	2	2550003	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477540	Rauh Base	2045470540	2	2550004	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477550	Rauh Base	2045470550	2	2550005	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477560	Rauh Base	2045470560	2	2550006	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477570	Rauh Base	2045470570	2	2550007	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477580	Rauh Base	2045470580	2	2550008	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477590	Rauh Base	2045470590	2	2550009	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477600	Rauh Base	2045470600	2	2550010	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2550000)	-	Weapon	Sword of Light	-	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477710	Gravesite	2045470710	2	2560001	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477720	Gravesite	2045470720	2	2560002	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477730	Gravesite	2045470730	2	2560003	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477740	Gravesite	2045470740	2	2560004	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477750	Gravesite	2045470750	2	2560005	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477760	Gravesite	2045470760	2	2560006	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477770	Gravesite	2045470770	2	2560007	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477780	Gravesite	2045470780	2	2560008	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477790	Gravesite	2045470790	2	2560009	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2045477800	Gravesite	2045470800	2	2560010	Weapon	NAMABLE: own-category FMG after stripping reinforcement (base 2560000)	-	Weapon	Sword of Darkness	-	m61_45_47_00.emevd.dcx.js,m61_45_47_10.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	m40_00_00_00.emevd.dcx.js,m61_50_46_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2047407980	Gravesite	2047400980	6	4407062	Goods	ABSENT from every param and FMG here -- MSBs are the only stone left	-	-	-	-	-	m61_47_40_00.emevd.dcx.js	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
2047427700	Gravesite	2047420700	6	4409058	Goods	ABSENT from every param and FMG here -- MSBs are the only stone left	-	-	-	-	-	-	-	EquipParam{Weapon,Goods,Protector,Accessory}|FMG{Weapon,Goods,Protector,Accessory,Gem}x{base,dlc01,dlc02}|ItemLotParam_{map,enemy}|event/*.emevd.dcx.js|talk/**	NO -- witchy MSBs are not in gen_inputs.db; see --emit-msb-worklist
