# AUTO-GENERATED by tools/build_questline_model.py -- DO NOT EDIT.
# Typed evidence union over questline_dag.tsv + questline_cc_wiki.tsv.
# This file as a compilation is CC BY-SA 4.0; project-derived rows retain their underlying status. See release/ATTRIBUTION.md.
# EVIDENCE ONLY: nothing in the world imports this table. requires/excludes are candidate facts, not access rules.
# Nodes are typed (`flag:` / `item:`); never compare their bare ids across spaces.
# MEASURED: 313 evidence rows (300 game-data, 13 CC-wiki), 270 typed edges.
source_node	target_node	relation	group_id	group_semantics	evidence_kind	evidence_origin	quest	source_label	target_label	source_region	target_region	claim	source_game_ref	id_evidence	source_page	source_page_id	source_revision	source_timestamp	source_url	license
flag:7603	flag:1039537700	requires	game:lot_gates:1039537700:90005774	single	game_data	lot_gates			Mt. Gelmir :: Black-Key Bolt - around Bridge of Iniquity, also granted by Demi-Human Queen Maggie (m60_37_53) [f1039537700]		Mt. Gelmir	$InitializeCommonEvent(90005774) arg0	event_flag:7603	questline_dag.tsv:lot_gates						project-derived
flag:1040403500	flag:1040407000	unknown	game:treasure_enablers:1040407000:90005422	unknown	game_data	treasure_enablers			Liurnia :: Treespear - near Lake-Facing Cliffs (region unconfirmed), also granted by Adan, Thief of Fire (m60_38_41) [f1040407000]		Liurnia	if (EventFlag(1040408500)) { ;; > WaitFor( (PlayerIsInOwnWorld() && ObjActEventFlag(1040403500)) || AssetDestroyed(1040401500));	event_flag:1040403500	questline_dag.tsv:treasure_enablers						project-derived
flag:1040408500	flag:1040407000	requires	game:treasure_enablers:1040407000:90005422	unknown	game_data	treasure_enablers			Liurnia :: Treespear - near Lake-Facing Cliffs (region unconfirmed), also granted by Adan, Thief of Fire (m60_38_41) [f1040407000]		Liurnia	if (EventFlag(1040408500)) { ;; > WaitFor( (PlayerIsInOwnWorld() && ObjActEventFlag(1040403500)) || AssetDestroyed(1040401500));	event_flag:1040408500	questline_dag.tsv:treasure_enablers						project-derived
flag:1043379262	flag:1042377700	requires	game:lot_gates:1042377700:90005774	single	game_data	lot_gates		NPC318_Host of Chaos_During the battle with Nerius_Switching process	Limgrave :: Reduvia - near Murkwater Cave, also granted by Night's Cavalry (m60_43_37) [f1042377700]	Limgrave	Limgrave	$InitializeCommonEvent(90005774) arg0	event_flag:1043379262	questline_dag.tsv:lot_gates						project-derived
flag:7602	flag:1042397500	requires	game:lot_gates:1042397500:90005774	single	game_data	lot_gates			Limgrave :: Scaled Greaves - m60_42_39 (region unconfirmed), also granted by Bell Bearing Hunter (m60_42_38) [f1042397500]	Mt. Gelmir	Limgrave	$InitializeCommonEvent(90005774) arg0	event_flag:7602	questline_dag.tsv:lot_gates						project-derived
flag:1042392181	flag:1042397700	requires	game:lot_gates:1042397700:90005792	single	game_data	lot_gates			Limgrave :: Hammer Talisman - m60_42_39 (region unconfirmed), also granted by Deathbird (m60_42_38) [f1042397700]		Limgrave	$InitializeCommonEvent(90005792) arg1	event_flag:1042392181	questline_dag.tsv:lot_gates						project-derived
flag:1042532350	flag:1043537100	requires	game:lot_gates:1043537100:90005390	single	game_data	lot_gates			Altus :: Larval Tear - m60_42_53 (region unconfirmed), also granted by Wormface (m60_41_53) [f1043537100]		Altus	$InitializeCommonEvent(90005390) arg1	event_flag:1042532350	questline_dag.tsv:lot_gates						project-derived
flag:1035432270	flag:1044357100	requires	game:lot_gates:1044357100:90005390	single	game_data	lot_gates			Limgrave :: Larval Tear - around Agheel Lake South, also granted by Bloodhound Knight Darriwil (m60_44_35) [f1044357100]	Liurnia	Limgrave	$InitializeCommonEvent(90005390) arg1	event_flag:1035432270	questline_dag.tsv:lot_gates						project-derived
flag:1046402181	flag:1046407700	requires	game:lot_gates:1046407700:90005792	single	game_data	lot_gates			Caelid :: Sacred Scorpion Charm - around Smoldering Church, also granted by Putrid Avatar (m60_47_40) [f1046407700]	Caelid	Caelid	$InitializeCommonEvent(90005792) arg1	event_flag:1046402181	questline_dag.tsv:lot_gates						project-derived
flag:1047562181	flag:1047567700	requires	game:lot_gates:1047567700:90005792	single	game_data	lot_gates			Consecrated Snowfield :: Sanguine Noble Waistcloth - m60_47_56 (region unconfirmed), also granted by Night's Cavalry (Glaive) (m60_48_55) [f1047567700]		Consecrated Snowfield	$InitializeCommonEvent(90005792) arg1	event_flag:1047562181	questline_dag.tsv:lot_gates						project-derived
flag:1048382181	flag:1048387500	requires	game:lot_gates:1048387500:90005792	single	game_data	lot_gates			Caelid :: Sacramental Bud - around Aeonia Swamp Shore, also granted by Decaying Ekzykes (m60_48_37) [f1048387500]	Caelid	Caelid	$InitializeCommonEvent(90005792) arg1	event_flag:1048382181	questline_dag.tsv:lot_gates						project-derived
flag:1048562181	flag:1048567800	requires	game:lot_gates:1048567800:90005792	single	game_data	lot_gates			Consecrated Snowfield :: Somber Ancient Dragon Smithing Stone - m60_48_56 (region unconfirmed), also granted by Night's Cavalry (Glaive) (m60_48_55) [f1048567800]		Consecrated Snowfield	$InitializeCommonEvent(90005792) arg1	event_flag:1048562181	questline_dag.tsv:lot_gates						project-derived
flag:1048570310	flag:1048577810	unknown	game:lot_gates:1048577810:1048572300	unknown	game_data	lot_gates		Gargoyle statue_hint text display	Consecrated Snowfield :: Black Knife Greaves - near Ordina, Liturgical Town, also granted by Death Rite Bird (m60_48_57) [f1048577810]	Consecrated Snowfield	Consecrated Snowfield	WaitForEventFlag(ON, TargetEventFlagType.EventFlag, 1048570310)	event_flag:1048570310	questline_dag.tsv:lot_gates						project-derived
flag:1048570350	flag:1048577810	unknown	game:lot_gates:1048577810:1048572300	unknown	game_data	lot_gates		Snow town_fog wall removed_deepest	Consecrated Snowfield :: Black Knife Greaves - near Ordina, Liturgical Town, also granted by Death Rite Bird (m60_48_57) [f1048577810]	Consecrated Snowfield	Consecrated Snowfield	EndIf(EventFlag(1048572309)); EndIf(EventFlag(1048570350)); Wai	event_flag:1048570350	questline_dag.tsv:lot_gates						project-derived
flag:1048572306	flag:1048577810	unknown	game:lot_gates:1048577810:1048572300	unknown	game_data	lot_gates		Snow Town_Confinement_Warp Event	Consecrated Snowfield :: Black Knife Greaves - near Ordina, Liturgical Town, also granted by Death Rite Bird (m60_48_57) [f1048577810]	Consecrated Snowfield	Consecrated Snowfield	; if (!EventFlag(1048572306)) {	event_flag:1048572306	questline_dag.tsv:lot_gates						project-derived
flag:1048572308	flag:1048577810	unknown	game:lot_gates:1048577810:1048572300	unknown	game_data	lot_gates		Snow Town_Confinement_Warp Event	Consecrated Snowfield :: Black Knife Greaves - near Ordina, Liturgical Town, also granted by Death Rite Bird (m60_48_57) [f1048577810]	Consecrated Snowfield	Consecrated Snowfield	DisableNetworkSync(); GotoIf(L5, EventFlag(1048572308)); Got	event_flag:1048572308	questline_dag.tsv:lot_gates						project-derived
flag:1048572309	flag:1048577810	unknown	game:lot_gates:1048577810:1048572300	unknown	game_data	lot_gates		Snow Town_Confinement_Warp Event	Consecrated Snowfield :: Black Knife Greaves - near Ordina, Liturgical Town, also granted by Death Rite Bird (m60_48_57) [f1048577810]	Consecrated Snowfield	Consecrated Snowfield	EndIf(!PlayerIsInOwnWorld()); EndIf(EventFlag(1048572309)); End	event_flag:1048572309	questline_dag.tsv:lot_gates						project-derived
flag:7604	flag:1050567700	requires	game:lot_gates:1050567700:90005774	single	game_data	lot_gates			Consecrated Snowfield :: Hoslow's Greaves - near Consecrated Snowfield Catacombs (region unconfirmed), also granted by Great Wyrm Theodorix (m60_50_56) [f1050567700]	Mt. Gelmir	Consecrated Snowfield	$InitializeCommonEvent(90005774) arg0	event_flag:7604	questline_dag.tsv:lot_gates						project-derived
flag:1051532181	flag:1051537500	requires	game:lot_gates:1051537500:90005792	single	game_data	lot_gates			Mountaintops of the Giants :: Okina Mask - around Church of Repose, also granted by Fire Giant (m60_52_52) [f1051537500]	Mountaintops of the Giants	Mountaintops of the Giants	$InitializeCommonEvent(90005792) arg1	event_flag:1051532181	questline_dag.tsv:lot_gates						project-derived
flag:7605	flag:11007985	requires	game:lot_gates:11007985:90005774	single	game_data	lot_gates			Leyndell :: Raging Wolf Greaves - around East Capital Rampart, also granted by Morgott, the Omen King (m11_00) [f11007985]	Mt. Gelmir	Leyndell	$InitializeCommonEvent(90005774) arg0	event_flag:7605	questline_dag.tsv:lot_gates						project-derived
flag:11109656	flag:11107900	requires	game:lot_gates:11107900:90005774	single	game_data	lot_gates		Dark Round Table Space_Dark Hours	Roundtable Hold :: Clinging Bone - around Table of Lost Grace [f11107900]	Roundtable Hold	Roundtable Hold	$InitializeCommonEvent(90005774) arg0	event_flag:11109656	questline_dag.tsv:lot_gates						project-derived
flag:12010593	flag:12017090	unknown	game:lot_gates:12017090:12012593	unknown	game_data	lot_gates		Great poison swamp ruins appearance event 2	Ainsel River :: Somber Smithing Stone [9] - near Lake of Rot Shoreside, also granted by Astel, Naturalborn of the Void (m12_04) [f12017090]	Ainsel River	Ainsel River	); WaitFor(PlayerIsInOwnWorld() && !EventFlag(12010593) && InArea	event_flag:12010593	questline_dag.tsv:lot_gates						project-derived
flag:12052412	flag:12057950	requires	game:lot_gates:12057950:90005792	single	game_data	lot_gates			Mohgwyn :: War Surgeon Trousers - around Palace Approach Ledge-Road, also granted by Mohg, Lord of Blood (m12_05) [f12057950]		Mohgwyn	$InitializeCommonEvent(90005792) arg1	event_flag:12052412	questline_dag.tsv:lot_gates						project-derived
flag:15000800	flag:15007990	requires	game:treasure_enablers:15007990:15002810	unknown	game_data	treasure_enablers		Defeat Arbitrator Marenia	Haligtree :: Miquella's Needle - near Malenia, Goddess of Rot, also granted by Loretta, Knight of the Haligtree (m15_00) [f15007990]		Haligtree	if (EventFlag(15000800)) { ;; > if (!EventFlag(15000801)) { ;; > WaitFor(EventFlag(15002805) && InArea(10000, 15002800)); ;; > if (PlayerIsInOwnWorld()) { ;; > if (PlayerIsInOwnWor	event_flag:15000800	questline_dag.tsv:treasure_enablers						project-derived
flag:15002805	flag:15007990	unknown	game:treasure_enablers:15007990:15002810	unknown	game_data	treasure_enablers			Haligtree :: Miquella's Needle - near Malenia, Goddess of Rot, also granted by Loretta, Knight of the Haligtree (m15_00) [f15007990]		Haligtree	if (EventFlag(15000800)) { ;; > if (!EventFlag(15000801)) { ;; > WaitFor(EventFlag(15002805) && InArea(10000, 15002800)); ;; > if (PlayerIsInOwnWorld()) { ;; > if (PlayerIsInOwnWor	event_flag:15002805	questline_dag.tsv:treasure_enablers						project-derived
flag:16000800	flag:16007690	excludes	game:lot_gates:16007690:16002691	unknown	game_data	lot_gates		Defeat the Ghoul King	Mt. Gelmir :: Serpent-Hunter - around Volcano Manor, also granted by Rykard, Lord of Blasphemy (m16_00) [f16007690]	Mt. Gelmir	Mt. Gelmir	, assetEntityId2, entityId) { EndIf(EventFlag(16000800) || !Playe	event_flag:16000800	questline_dag.tsv:lot_gates						project-derived
flag:16002696	flag:16007690	requires	game:lot_gates:16007690:16002691	unknown	game_data	lot_gates		Storm Ruler derivative weapon possession check	Mt. Gelmir :: Serpent-Hunter - around Volcano Manor, also granted by Rykard, Lord of Blasphemy (m16_00) [f16007690]	Mt. Gelmir	Mt. Gelmir	onButtonInArea(9532, assetEntityId2) && EventFlag(16002696)); Del	event_flag:16002696	questline_dag.tsv:lot_gates						project-derived
flag:16000850	flag:16007710	unknown	game:lot_gates:16007710:16002850	single	game_data	lot_gates		Defeat mid-boss	Mt. Gelmir :: Serpent's Amnion - near Temple of Eiglay, also granted by Abductor Virgin (Swinging Sickle) (m16_00) [f16007710]	Mt. Gelmir	Mt. Gelmir	002850, Restart, function() { EndIf(EventFlag(16000850)); Wai	event_flag:16000850	questline_dag.tsv:lot_gates						project-derived
flag:16000850	flag:16007710	unknown	game:lot_gates:16007710:16002855	unknown	game_data	lot_gates		Defeat mid-boss	Mt. Gelmir :: Serpent's Amnion - near Temple of Eiglay, also granted by Abductor Virgin (Swinging Sickle) (m16_00) [f16007710]	Mt. Gelmir	Mt. Gelmir	16002855, Restart, function() { if (EventFlag(16000850)) {	event_flag:16000850	questline_dag.tsv:lot_gates						project-derived
flag:16000851	flag:16007710	unknown	game:lot_gates:16007710:16002855	unknown	game_data	lot_gates		Mid-boss appears	Mt. Gelmir :: Serpent's Amnion - near Temple of Eiglay, also granted by Abductor Virgin (Swinging Sickle) (m16_00) [f16007710]	Mt. Gelmir	Mt. Gelmir	DisableCharacterAI(16000850); if (!EventFlag(16000851)) {	event_flag:16000851	questline_dag.tsv:lot_gates						project-derived
flag:16002855	flag:16007710	unknown	game:lot_gates:16007710:16002855	unknown	game_data	lot_gates			Mt. Gelmir :: Serpent's Amnion - near Temple of Eiglay, also granted by Abductor Virgin (Swinging Sickle) (m16_00) [f16007710]		Mt. Gelmir	alse); } else { L1: WaitFor(EventFlag(16002855) && InArea	event_flag:16002855	questline_dag.tsv:lot_gates						project-derived
flag:16002181	flag:16007940	requires	game:lot_gates:16007940:90005792	single	game_data	lot_gates			Mt. Gelmir :: Ghiza's Wheel - around Volcano Manor, also granted by Godskin Noble (m16_00) [f16007940]		Mt. Gelmir	$InitializeCommonEvent(90005792) arg1	event_flag:16002181	questline_dag.tsv:lot_gates						project-derived
flag:16009264	flag:16007950	excludes	game:lot_gates:16007950:16003706	single	game_data	lot_gates		NPC230 Mistress Escort_Battle ends	Mt. Gelmir :: [Incantation] Aspects of the Crucible: Breath - around Volcano Manor, also granted by Abductor Virgin (Swinging Sickle) (m16_00) [f16007950]	Mt. Gelmir	Mt. Gelmir	(chrEntityId, chrEntityId2) { EndIf(EventFlag(16009264)); Wai	event_flag:16009264	questline_dag.tsv:lot_gates						project-derived
flag:20000544	flag:20007810	unknown	game:lot_gates:20007810:20002810	unknown	game_data	lot_gates			Belurat :: Divine Beast Head - near Theatre of the Divine Beast, also granted by Divine Beast Dancing Lion (m20_00) [f20007810]		Belurat	cterFadeOnEnable(20000800); if (EventFlag(20000544)) {	event_flag:20000544	questline_dag.tsv:lot_gates						project-derived
flag:20000800	flag:20007810	unknown	game:lot_gates:20007810:20002800	unknown	game_data	lot_gates			Belurat :: Divine Beast Head - near Theatre of the Divine Beast, also granted by Divine Beast Dancing Lion (m20_00) [f20007810]	Belurat	Belurat	asSpEffect(10000, 9646)) || EventFlag(20000800)); Han	event_flag:20000800	questline_dag.tsv:lot_gates						project-derived
flag:20000800	flag:20007810	unknown	game:lot_gates:20007810:20002810	unknown	game_data	lot_gates			Belurat :: Divine Beast Head - near Theatre of the Divine Beast, also granted by Divine Beast Dancing Lion (m20_00) [f20007810]	Belurat	Belurat	20002810, Restart, function() { if (EventFlag(20000800)) {	event_flag:20000800	questline_dag.tsv:lot_gates						project-derived
flag:20000801	flag:20007810	unknown	game:lot_gates:20007810:20002810	unknown	game_data	lot_gates			Belurat :: Divine Beast Head - near Theatre of the Divine Beast, also granted by Divine Beast Dancing Lion (m20_00) [f20007810]	Belurat	Belurat	000, TargetType.BluePhantom)); if (!EventFlag(20000801)) {	event_flag:20000801	questline_dag.tsv:lot_gates						project-derived
flag:20002739	flag:20007810	unknown	game:lot_gates:20007810:20002810	unknown	game_data	lot_gates		set by NPC talk 402002000 on m20_00_00_00	Belurat :: Divine Beast Head - near Theatre of the Divine Beast, also granted by Divine Beast Dancing Lion (m20_00) [f20007810]		Belurat	layerIsInOwnWorld()) { if (!EventFlag(20002739)) {	event_flag:20002739	questline_dag.tsv:lot_gates						project-derived
flag:20002805	flag:20007810	unknown	game:lot_gates:20007810:20002810	unknown	game_data	lot_gates			Belurat :: Divine Beast Head - near Theatre of the Divine Beast, also granted by Divine Beast Dancing Lion (m20_00) [f20007810]		Belurat	); } else { WaitFor(EventFlag(20002805) || InArea	event_flag:20002805	questline_dag.tsv:lot_gates						project-derived
item:Hole-Laden Necklace	flag:2050407000	requires	ccwiki:ymir:necklace-dheo	single	cc_wiki	eldenring.wiki.gg	Ymir	Hole-Laden Necklace	Jagged Peak :: Ring the Finger Ruins of Dheo bell - m61_50_40 [f2050407000]		Jagged Peak	The necklace is received before the Dheo bell, whose reward is the Cerulean Seed Talisman +1.	goods:2008008	flag_lots.tsv f400660 + key_item_gates.tsv Hole-Laden Necklace	Count Ymir	10906	99589	2026-04-13T17:51:00Z	https://eldenring.wiki.gg/w/index.php?title=Count_Ymir&oldid=99589	CC-BY-SA-4.0
item:Hole-Laden Necklace	flag:2053467600	requires	ccwiki:ymir:necklace-rhia	single	cc_wiki	eldenring.wiki.gg	Ymir	Hole-Laden Necklace	Scadu Altus :: Ring the Finger Ruins of Rhia bell - m61_53_46 [f2053467600]		Scadu Altus	The necklace is received before the Rhia bell, whose reward is the Crimson Seed Talisman +1.	goods:2008008	flag_lots.tsv f400660 + key_item_gates.tsv Hole-Laden Necklace	Count Ymir	10906	99589	2026-04-13T17:51:00Z	https://eldenring.wiki.gg/w/index.php?title=Count_Ymir&oldid=99589	CC-BY-SA-4.0
flag:21010500	flag:21017120	unknown	game:lot_gates:21017120:21012500	unknown	game_data	lot_gates			Shadow Keep :: Pearldrake Talisman +3 - near Storehouse, Seventh Floor, also granted by Base Serpent Messmer (m21_01) [f21017120]	Shadow Keep	Shadow Keep	PlayerIsInOwnWorld()); GotoIf(L0, !(EventFlag(21010500) && (Event	event_flag:21010500	questline_dag.tsv:lot_gates						project-derived
flag:21010501	flag:21017120	unknown	game:lot_gates:21017120:21012500	unknown	game_data	lot_gates			Shadow Keep :: Pearldrake Talisman +3 - near Storehouse, Seventh Floor, also granted by Base Serpent Messmer (m21_01) [f21017120]	Shadow Keep	Shadow Keep	; L1: GotoIf(L0, !EventFlag(21010501)); For	event_flag:21010501	questline_dag.tsv:lot_gates						project-derived
flag:72112	flag:21017120	unknown	game:lot_gates:21017120:21012500	unknown	game_data	lot_gates			Shadow Keep :: Pearldrake Talisman +3 - near Storehouse, Seventh Floor, also granted by Base Serpent Messmer (m21_01) [f21017120]		Shadow Keep	GotoIf(L0, !(EventFlag(21010500) && (EventFlag(72112) || EventF	event_flag:72112	questline_dag.tsv:lot_gates						project-derived
flag:72113	flag:21017120	unknown	game:lot_gates:21017120:21012500	unknown	game_data	lot_gates			Shadow Keep :: Pearldrake Talisman +3 - near Storehouse, Seventh Floor, also granted by Base Serpent Messmer (m21_01) [f21017120]		Shadow Keep	tFlag(21010500) && (EventFlag(72112) || EventFlag(72113))));	event_flag:72113	questline_dag.tsv:lot_gates						project-derived
flag:30090800	flag:30097000	requires	game:treasure_enablers:30097000:30090790	single	game_data	treasure_enablers		Defeat the boss	Mt. Gelmir :: Deathroot - near Gelmir Hero's Grave, also granted by Red Wolf of the Champion (m30_09) [f30097000]	Mt. Gelmir	Mt. Gelmir	if (EventFlag(30090800)) { ;; > WaitFor(PlayerIsInOwnWorld() && EventFlag(30090800) && !ThisEventSlot());	event_flag:30090800	questline_dag.tsv:treasure_enablers						project-derived
flag:30100465	flag:30107100	requires	game:lot_gates:30107100:30102490	single	game_data	lot_gates		chariot battle	Altus :: Tree Sentinel Greaves - around Auriza Hero's Grave, also granted by Crucible Knight Ordovis (m30_10) [f30107100]	Altus	Altus	EndIf(EventFlag(30107100)); WaitFor(EventFlag(30100465)); End	event_flag:30100465	questline_dag.tsv:lot_gates						project-derived
flag:31008521	flag:31007010	unknown	game:lot_gates:31007010:31002875	unknown	game_data	lot_gates			Limgrave :: Cloth Trousers - treasure · Murkwater Cave [f31007010]		Limgrave	EnableAsset(31001521); if (!EventFlag(31008521)) {	event_flag:31008521	questline_dag.tsv:lot_gates						project-derived
flag:31008523	flag:31007010	unknown	game:lot_gates:31007010:31002875	unknown	game_data	lot_gates			Limgrave :: Cloth Trousers - treasure · Murkwater Cave [f31007010]		Limgrave	1); EnableAsset(31001523); if (!EventFlag(31008523)) {	event_flag:31008523	questline_dag.tsv:lot_gates						project-derived
flag:3691	flag:31007010	unknown	game:lot_gates:31007010:31002875	unknown	game_data	lot_gates		NPC309 Thief Head_Character state transition	Limgrave :: Cloth Trousers - treasure · Murkwater Cave [f31007010]	Mt. Gelmir	Limgrave	1002875, Restart, function() { if (!EventFlag(3691)) {	event_flag:3691	questline_dag.tsv:lot_gates						project-derived
flag:31008521	flag:31007030	unknown	game:lot_gates:31007030:31002875	unknown	game_data	lot_gates			Limgrave :: Glass Shard - treasure · Murkwater Cave [f31007030]		Limgrave	EnableAsset(31001521); if (!EventFlag(31008521)) {	event_flag:31008521	questline_dag.tsv:lot_gates						project-derived
flag:31008523	flag:31007030	unknown	game:lot_gates:31007030:31002875	unknown	game_data	lot_gates			Limgrave :: Glass Shard - treasure · Murkwater Cave [f31007030]		Limgrave	1); EnableAsset(31001523); if (!EventFlag(31008523)) {	event_flag:31008523	questline_dag.tsv:lot_gates						project-derived
flag:3691	flag:31007030	unknown	game:lot_gates:31007030:31002875	unknown	game_data	lot_gates		NPC309 Thief Head_Character state transition	Limgrave :: Glass Shard - treasure · Murkwater Cave [f31007030]	Mt. Gelmir	Limgrave	1002875, Restart, function() { if (!EventFlag(3691)) {	event_flag:3691	questline_dag.tsv:lot_gates						project-derived
flag:300	flag:35007000	unknown	game:lot_gates:35007000:35002600	unknown	game_data	lot_gates		Natural disaster_World tree in flames	Leyndell :: Poisonbone Dart - near Underground Roadside, also granted by Esgar, Priest of Blood (m35_00) [f35007000]		Leyndell	35002600, Restart, function() { if (EventFlag(300)) {	event_flag:300	questline_dag.tsv:lot_gates						project-derived
flag:35008540	flag:35007000	unknown	game:lot_gates:35007000:35002600	unknown	game_data	lot_gates		Changes after the World Tree went up in flames	Leyndell :: Poisonbone Dart - near Underground Roadside, also granted by Esgar, Priest of Blood (m35_00) [f35007000]	Leyndell	Leyndell	If(!PlayerIsInOwnWorld()); if (!EventFlag(35008540)) {	event_flag:35008540	questline_dag.tsv:lot_gates						project-derived
flag:7606	flag:39207500	requires	game:lot_gates:39207500:90005774	single	game_data	lot_gates			Liurnia :: Bull-Goat Greaves - near Magma Wyrm Makar, also granted by Magma Wyrm Makar (m39_20) [f39207500]		Liurnia	$InitializeCommonEvent(90005774) arg0	event_flag:7606	questline_dag.tsv:lot_gates						project-derived
flag:108	flag:400001	excludes	game:esd_gifts:400001:3000	single	game_data	esd_gifts		Receiving crazy fire	Leyndell :: Rold Medallion - talk to Melina after killing Morgott [f400001]		Leyndell	talk 3000 gate_sense=0 lot 100010	event_flag:108	questline_dag.tsv:esd_gifts						project-derived
flag:10009305	flag:400020	unknown	game:esd_gifts:400020:304001000	single	game_data	esd_gifts		set by NPC talk 304001000 on m10_00_00_00	Stormveil :: Neutralizing Boluses - around Castleward Tunnel [f400020]		Stormveil	talk 304001000 gate_sense=1 lot 100200	event_flag:10009305	questline_dag.tsv:esd_gifts						project-derived
