# AUTO-GENERATED by tools/datamine_area_tiers.py --emit -- DO NOT EDIT.
# Vanilla's own declared difficulty per play_region bucket: the weighted MEDIAN base-game
#   ladder rung (7010..7200 -> index 0..19) over every enemy Part vanilla PLACED on that
#   ground, read from NpcParam.spEffectID3.
# Replaces the LIVE census (er-logic::scaling::area_tier_from_histogram) as the primary
#   source for presumed_native_tier{,_down}. The live census + AreaAnchor stay as the
#   fallback for ground this table does not cover.
# WHY: the live census counts rung-AND-band carriers and our own sweep strips the band, so
#   it erases its own sample -- bobler 2026-08-09 saw `from 0 vanilla-shaped` on 33 of 48
#   sweeps of bucket 69300 and `left vanilla` never converged (122..214).
# tier is EMPTY where the sample is below MIN_AREA_SAMPLE (8) -- same floor as the client;
#   an empty tier means 'no claim', and the caller must fall back, NOT default to 0.
# dlc_rungs counts parts whose rung is the DLC re-emission (20007000..20007350), which is a
#   STEEPER curve at the same indices and is deliberately NOT folded in.
# TRACKED (tier-2, AGENTS.md 5a): needs MSBs, which are not in gen_inputs.db.
# ladder=dlc rows are ranked WITHIN the 16-rung DLC ladder and projected onto 0..19 by
#   RANK, because the two ladders are disjoint bands (base 1.141-7.422x HP, DLC
#   7.047-16.641x) and no multiplier mapping between them exists. A base tier and a DLC
#   tier are therefore NOT comparable to each other -- only each to its own region's
#   sphere target, which is what consumes them.
bucket	tier	ladder	sample	parts	unrunged	hist_base	hist_dlc	maps
62000	5	base	399	560	161	1;0;0;0;0;387;0;0;0;0;0;0;10;0;0;0;1;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_34_42;m60_34_48;m60_34_49;m60_35_48;m60_35_50;m60_35_51;m60_36_44;m60_38_42;m60_38_46
62010	5	base	35	37	2	0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_37_48
62020	12	base	9	76	67	0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_35_41
63000	7	base	153	279	126	0;0;0;0;0;2;0;147;0;2;0;2;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_37_51;m60_39_51;m60_40_53;m60_41_52;m60_41_54
63010	8	base	25	35	10	0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_43_52
63020	8	base	86	122	36	0;0;0;0;0;0;0;0;83;0;3;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_35_53;m60_36_54;m60_37_54
64000	6	base	204	238	34	0;0;0;0;0;0;133;70;0;0;1;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_47_39;m60_48_37;m60_51_36;m60_52_38
64010	6	base	33	70	37	0;0;0;0;0;0;24;0;9;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_49_38
64020	14	base	32	57	25	0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;1;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_49_40;m60_51_43
65000	11	base	13	13	0	0;0;0;0;0;0;0;0;0;0;0;11;0;2;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_48_51
65010	11	base	97	192	95	0;0;0;0;0;0;0;0;0;0;2;50;45;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_49_53;m60_51_57;m60_53_57
65020	11	base	22	23	1	0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_52_54
65030	15	base	20	23	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m60_48_56
68000	0	dlc	35	39	4	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	m61_45_43
68100	3	dlc	65	70	5	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0	m61_47_43
68200	5	dlc	76	82	6	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;6;20;47;1;0;2;0;0;0;0;0;0;0;0	m61_48_44
68300	4	dlc	92	95	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;1;0;66;0;25;0;0;0;0;0;0;0;0;0;0	m61_48_38
68400	6	dlc	192	195	3	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;74;0;117;0;1;0;0;0;0;0;0;0;0	m61_47_39
68410	6	dlc	30	31	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;27;0;0;0;0;3;0;0;0;0;0	m61_49_40
68500	14	dlc	37	45	8	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;1;0;0;0;34;1;1;0;0	m61_54_39
68600	13	dlc	84	85	1	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0	m61_51_42
69000	5	dlc	47	49	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0	m61_48_45
69010	6	dlc	168	170	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;8;0;0;158;0;0;0;0;0;0;0;0;2;0	m61_46_45
69020	5	dlc	63	67	4	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;62;0;0;1;0;0;0;0;0;0;0;0	m61_51_46
69030	5	dlc	115	123	8	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;104;2;0;6;0;0;0;0;0;3;0;0	m61_51_45
69300	11	dlc	43	45	2	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;0;0;0;0;42;0;1;0;0;0;0	m61_52_48
69400	11	dlc	234	242	8	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;0;2;0;0;0;232;0;0;0;0;0;0	m61_46_47
69410	11	dlc	130	134	4	0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0	0;0;0;0;2;16;0;2;0;108;0;2;0;0;0;0	m61_44_46
