flag,location_name,note
160770,RLA/SC: Smithing Stone [5] - below cog elevator item 1,client sets on pickup/purchase (flagless in game data)
160960,"RLA/SC: Golden Rune [3] - down cog elevator, to NW item 1",client sets on pickup/purchase (flagless in game data)
160970,"RLA/SC: Avionette Soldier Ashes - down cog elevator, to NW item 2",client sets on pickup/purchase (flagless in game data)
170070,LL/CFT: Crystal Dart x3 - SW under CFT,client sets on pickup/purchase (flagless in game data)
170080,"RLA/CC: Golden Rune [4] - outside, S after bridge, drop down off ledge, to E in corner",client sets on pickup/purchase (flagless in game data)
170500,LL/(CM): Ritual Pot - Pidia shop,client sets on pickup/purchase (flagless in game data)
170540,LL/(CM): Glintstone Craftsman's Cookbook [7] - Pidia shop,client sets on pickup/purchase (flagless in game data)
170550,TSC/SCIG: Ghost Glovewort [4] - enemy drop to E middle courtyard,client sets on pickup/purchase (flagless in game data)
170560,"TSC/SCR: Ghost Glovewort [4] - enemy drop SW inner swamp, N end behind tree",client sets on pickup/purchase (flagless in game data)
170570,TSC/SCIG: Rot Grease x3 - to E middle courtyard,client sets on pickup/purchase (flagless in game data)
180270,CL/(SSR): Traveler's Hat - in raised ruin,client sets on pickup/purchase (flagless in game data)
180460,CL/(SSR): Golden Rune [4] - in SW Ruin,client sets on pickup/purchase (flagless in game data)
180470,CL/(SSR): Perfumer's Traveling Garb - in raised ruin,client sets on pickup/purchase (flagless in game data)
180790,"CS/(OLT): Ghost Glovewort [9] - enemy drop in evergaol, under stairs to haligtree seal",client sets on pickup/purchase (flagless in game data)
180810,CS/OLT: Rotten Duelist Greaves - enemy drop NW of OLT,client sets on pickup/purchase (flagless in game data)
180940,CS/OLT: Rotten Greataxe - enemy drop NW of OLT,client sets on pickup/purchase (flagless in game data)
190290,"NS/NEC: Somber Smithing Stone [7] - to W, on corpse overlooking AR boss arena",client sets on pickup/purchase (flagless in game data)
190300,NS/NEC: Celestial Dew - in structure far SW end of NS,client sets on pickup/purchase (flagless in game data)
190540,LAC/LCA: Scepter of the All-Knowing - boss drop,client sets on pickup/purchase (flagless in game data)
190550,LAC/LCA: All-Knowing Helm - boss drop,client sets on pickup/purchase (flagless in game data)
250540,RH: Blue Cipher Ring - Twin maiden shop,client sets on pickup/purchase (flagless in game data)
280060,RH: Knight Greaves - Twin maiden shop,client sets on pickup/purchase (flagless in game data)
280590,RH: Furled Finger's Trick-Mirror - Twin maiden shop,client sets on pickup/purchase (flagless in game data)
320820,GP/PT: Forager Brood Cookbook [2] - given by friendly Kindred of Rot E of PT,client sets on pickup/purchase (flagless in game data)
400122,"RH: Rellana's Gloves - Enia shop, defeat CE/CLC mainboss",client sets on pickup/purchase (flagless in game data)
400286,"RH: Rellana's Greaves - Enia shop, defeat CE/CLC mainboss",client sets on pickup/purchase (flagless in game data)
400396,LG/(CE): Missionary's Cookbook [1] - Kalé Shop,client sets on pickup/purchase (flagless in game data)
1032500030,"SA/FR: Smithing Stone [6] x8 - in chest to SE inside, in center room below, inside cage",client sets on pickup/purchase (flagless in game data)
1038457500,LL/GTB: Smithing Stone [2] x3 - to S in gazebo E of HLT,client sets on pickup/purchase (flagless in game data)
1042377111,LG/DBR: Smithing Stone [1] - W of DBR,client sets on pickup/purchase (flagless in game data)
1046397001,LG/(FH): Ash of War: Bloody Slash - enemy drop upper area,client sets on pickup/purchase (flagless in game data)
